Collection,Predicate,Era
民国傅抱石篆刻“往往醉后”“苦瓜诗意”朱文石两面印,年代,1941年
民国傅抱石篆刻“抱石山斋”朱文石印,年代,1946年
民国傅抱石篆刻“往往醉后”朱文石印_1,年代,1945年
民国至现代傅抱石篆刻“寄乐于画”白文方印,年代,1965年
民国傅抱石篆刻“乙酉”朱文石印,年代,1945年
民国傅抱石篆刻“踪迹大化”朱文石印,年代,1941年
民国至现代傅抱石篆刻“抱石得心之作”朱文石方印,年代,1965年
现代傅抱石篆刻“一九六〇”朱文石方印,年代,1960年
民国至现代傅抱石篆刻“有酒学仙”龟钮朱文石印,年代,1965年
民国紫砂方形花觚,年代,1932年
傅抱石临石涛山居图,年代,1943年
胡小石 节临楼兰汉简《楼兰王致问信》横幅,年代,1906年
民国刺绣观音象轴,年代,1921年
现代苏天赐《松林》油画,年代,1952年
现代苏天赐《湖畔云影》油画,年代,1953年
现代苏天赐《景山》油画,年代,1954年
现代苏天赐《维吾尔族少女》油画,年代,1954年
现代苏天赐《插秧》油画,年代,1955年
现代苏天赐《湖畔》油画,年代,1955年
现代苏天赐《海》油画,年代,1956年
现代苏天赐《公园》油画,年代,1957年
现代苏天赐《沸腾的高炉》油画,年代,1957年
现代苏天赐《水乡》油画,年代,1979年
现代苏天赐《红帆》油画,年代,1981年
现代苏天赐《银杏林》油画,年代,1981年
现代苏天赐《迪力邦尔》油画,年代,1981年
现代苏天赐《太湖春》油画,年代,1984年
现代苏天赐《春郊》油画,年代,1984年
现代苏天赐《桃林》油画,年代,1985年
现代苏天赐《太湖》油画,年代,1985年
现代苏天赐《树林》油画,年代,1985年
现代苏天赐《金陵古道》油画,年代,1986年
现代苏天赐《漓江新篁》油画,年代,1998年
现代苏天赐《霜晨之二》油画,年代,2000年
现代苏天赐《西德庄园》油画,年代,2001年
现代苏天赐《秋澄》油画,年代,2004年
现代苏天赐《大地回春》油画,年代,2005年
现代苏天赐《西湖畔》油画,年代,1949年
现代苏天赐《女同学》油画,年代,1949年
现代苏天赐《打草帘》油画,年代,1961年
现代苏天赐《油船》油画,年代,1962年
现代苏天赐《镇江的早晨》油画,年代,1962年
现代苏天赐《太湖山村》油画,年代,1962年
现代苏天赐《团支书》油画,年代,1962年
现代苏天赐《春雨江南》油画,年代,1962年
现代苏天赐《茶场》油画,年代,1962年
现代苏天赐《大桥》油画,年代,1973年
现代苏天赐《黄浦江边》油画,年代,1973年
现代苏天赐《江岸》油画,年代,1973年
现代苏天赐《外滩落日》油画,年代,1973年
现代苏天赐《庐山》油画,年代,1974年
现代苏天赐《织》油画,年代,1976年
现代苏天赐《渡江》油画,年代,1976年
现代苏天赐《丛竹》油画,年代,1977年
现代苏天赐《晒网》油画,年代,1978年
现代苏天赐《湖边秋意》油画,年代,1978年
现代苏天赐《春回太湖》油画,年代,1978年
现代苏天赐《海礁》油画,年代,1978年
现代苏天赐《秋林西山》油画,年代,1979年
现代椰雕茶叶罐,年代,1988年
现代黄杨和合篦子,年代,1955年
现代元骨和合花齿篦子,年代,1956年
现代平绣《普贤菩萨》,年代,1981年
现代霓裳巾,年代,1958年
当代喻湘莲惠山泥人“大戏文——郭子仪”,年代,2007年
当代喻湘莲惠山泥人“大戏文——杨贵妃”,年代,2007年
当代喻湘莲惠山泥人“包公”,年代,2007年
当代喻湘莲惠山泥人“大戏文——姚期”,年代,2007年
当代喻湘莲惠山泥人“车张仙”,年代,2007年
当代喻湘莲惠山泥人“车状元”,年代,2007年
当代喻湘莲惠山泥人“大戏文——窦尔墩”,年代,2007年
当代喻湘莲惠山泥人“穆柯寨”,年代,2005年
当代喻湘莲惠山泥人“美猴王”,年代,2007年
当代惠山泥人“珍珠塔—荣归”,年代,2007年
当代喻湘莲惠山泥人“珍珠塔——大团圆”,年代,2007年
当代喻湘莲惠山泥人“水漫金山”,年代,2007年
当代喻湘莲惠山泥人“传统小板戏”,年代,2007年
当代喻湘莲惠山泥人“麒麟”,年代,2007年
当代喻湘莲惠山泥人“少狮”、“太狮”,年代,2007年
"当代惠山泥人""二进宫""",年代,2002年
当代喻湘莲惠山泥人“五色春牛”,年代,2007年
当代喻湘莲惠山泥人“闹元宵”,年代,2007年
当代喻湘莲惠山泥人“战宛城”,年代,2007年
当代喻湘莲惠山泥人“巾帼英雄”,年代,2002年
当代喻湘莲惠山泥人“杨家将”,年代,2007年
当代喻湘莲惠山泥人“龙虎斗”,年代,2007年
当代喻湘莲惠山泥人“门神”,年代,2007年
当代喻湘莲惠山泥人“耍把戏”,年代,2007年
当代喻湘莲惠山泥人“三国战将”,年代,2007年
当代喻湘莲惠山泥人“麒麟送子”,年代,2007年
当代喻湘莲惠山泥人“梁祝十八相送”,年代,2007年
当代喻湘莲惠山泥人“荷花囡”,年代,2007年
当代喻湘莲惠山泥人“华容道”,年代,2007年
当代喻湘莲惠山泥人“三岔口”,年代,2007年
当代桑黎兵《春晓壶》,年代,2004年
当代蒋彦《知足常乐壶》,年代,2006年
当代张振中《“化石”系列壶》,年代,2005年
当代陆虹炜《年年有余壶》,年代,2005年
当代束旦生《四足如意壶》,年代,2006年
当代鲍利安《古今遗韵壶》,年代,2006年
当代吴亚克《万象更新壶》,年代,2003年
当代张庆成《鸿运当头壶》,年代,2004年
当代王国祥《亚明方壶》,年代,2006年
当代范建军《韵律壶》,年代,2006年
当代毛承君《荸荠壶》,年代,2006年
当代朱敏《菱花云灯壶》,年代,2006年
当代庄玉林《意方壶》,年代,2006年
当代陈依群《六六大顺壶》,年代,2006年
当代王石耕《飞象壶》,年代,2005年
当代毛文杰《千禧钟声壶》,年代,2002年
当代毛子健《茗香壶》,年代,2006年
当代惠山泥人“麻姑骑鹿”,年代,2007年
当代惠山泥人“寿星骑鹿”,年代,2007年
当代惠山泥人“烂柯山——改嫁”,年代,2007年
当代惠山泥人“珍珠塔——定亲”,年代,2007年
当代惠山泥人“烂柯山——休妻”,年代,2007年
当代惠山泥人“珍珠塔——见姑”,年代,2007年
当代喻湘莲惠山泥人“珍珠塔——投亲”,年代,2007年
当代喻湘莲惠山泥人“珍珠塔——巧遇”,年代,2007年
当代喻湘莲惠山泥人“珍珠塔——唱道情”,年代,2007年
当代喻湘莲惠山泥人“烂柯山——痴梦”,年代,2007年
当代喻湘莲惠山泥人“珍珠塔——跌雪”,年代,2007年
当代喻湘莲惠山泥人“门神”_1,年代,2005年
当代喻湘莲惠山泥人“珍珠塔——哭塔”,年代,2007年
现代喻湘莲惠山泥人“传统小板戏”,年代,1996年
当代喻湘莲惠山泥人“大戏文——穆桂英”,年代,2007年
当代喻湘莲惠山泥人“珍珠塔——羞姑”,年代,2007年
当代喻湘莲惠山泥人“烂柯山——马前泼水”,年代,2007年
当代喻湘莲惠山泥人“钟馗”,年代,2007年
当代喻湘莲惠山泥人“珍珠塔——赠塔”,年代,2007年
当代倪顺生制梅桩紫砂摆件,年代,2002年
当代倪建军制矮莲子紫砂壶,年代,2002年
现代李元霸彩绘泥面具,年代,现代
现代先智罗汉彩绘泥面具,年代,现代
现代阴阳收魔彩绘泥面具,年代,现代
现代狻猊彩绘泥面具,年代,现代
现代四不像神兽彩绘泥面具,年代,现代
现代周仓彩绘泥面具,年代,现代
现代蚩尤彩绘泥面具,年代,现代
现代创封炼丹老祖泥面具,年代,现代
现代黒煞神彩绘泥面具,年代,现代
现代天官彩绘泥面具,年代,现代
现代白象彩绘泥面具,年代,现代
现代独眼神彩绘泥面具,年代,现代
现代红火神祖彩绘泥面具,年代,现代
现代多眼神彩绘泥面具,年代,现代
现代八卦凶煞神彩绘泥面具,年代,现代
现代守门神彩绘泥面具,年代,现代
现代散福生彩绘泥面具,年代,现代
现代龟精彩绘泥面具,年代,现代
现代离朱彩绘泥面具,年代,现代
现代黑煞星君彩绘泥面具,年代,现代
现代宇宙先祖彩绘泥面具,年代,现代
现代兽脸彩绘泥面具,年代,现代
现代钟馗彩绘泥面具,年代,现代
当代邵毓芳紫砂翔壶,年代,2003年
当代季园林紫砂月菊壶,年代,2003年
当代翟秀林《曲中求生》紫砂壶,年代,2004年
当代周建英《一枝独秀》紫砂壶,年代,2003年
当代胡永成《忆鸣壶》,年代,2005年
现代红波款“春归”紫砂花盆,年代,1972年
现代红波款“春归”紫砂花盆_1,年代,1972年
现代郭世宏制紫砂方花盆,年代,1942年
当代无锡彩塑团阿福,年代,2001年
当代无锡彩绘“红灯记”,年代,2001年
当代无锡彩绘“沙家浜”泥塑,年代,2001年
当代无锡彩绘“奇袭白虎团”泥塑,年代,2001年
当代无锡彩绘“海港”泥塑,年代,2001年
当代无锡彩绘“白毛女”泥塑,年代,2001年
当代无锡彩绘“红色娘子军”泥塑,年代,2001年
当代无锡彩绘“支取威虎山”泥塑,年代,2001年
当代无锡彩绘“龙江颂”泥塑,年代,2001年
现代回头凤紫砂花插,年代,现代
现代蜗牛形紫砂水滴,年代,现代
现代长方仿乾隆紫砂花瓶,年代,现代
现代仿乾隆紫砂碗,年代,现代
现代六方紫砂花瓶,年代,现代
现代仿青铜紫砂花觚,年代,现代
现代八卦蝠寿纹紫砂壶,年代,现代
现代飞龙形紫砂花插,年代,现代
现代仿宣德紫砂香炉,年代,现代
当代王小龙制龙头一捆竹紫砂壶,年代,2000年
现代高丽君制百岁华贵紫砂壶,年代,1997年
当代王珂均制南瓜紫砂壶,年代,2002年
当代王珂均制南瓜紫砂壶_1,年代,2002年
现代三彩“南京路上好八连”图罐,年代,1970年
现代徐汉棠高石瓢壶,年代,1999年
现代谭泉海太湖颂挂盘,年代,1999年
现代汪寅仙千禧壶,年代,1999年
现代汪寅仙斑竹提梁壶,年代,1999年
现代曹婉芬作徐秀棠刻苑林提梁壶,年代,1999年
现代顾绍培双百福寿瓶,年代,1999年
现代周桂珍竹提梁壶,年代,1999年
现代鲍志强金声玉振壶,年代,1999年
现代六大师合作跨世纪壶,年代,1999年
现代国庆五十周年纪念壶,年代,1999年
现代向阳刻四方紫砂花盆,年代,1972年
现代红波刻四方紫砂花盆,年代,1972年
现代周桂珍紫砂壶,年代,现代
现代粉彩花鸟纹紫砂执壶,年代,现代
现代群猪哺乳紫砂雕件,年代,现代
现代三猪寻食雕件,年代,现代
现代吴纯耿制紫砂茶具,年代,现代
现代童子骑牛紫砂水注,年代,现代
现代史锡芬制黄泥提梁壶,年代,现代
现代史锡芬制黑泥小提梁壶,年代,现代
现代螃蟹戏蜗牛紫砂荷叶洗,年代,现代
现代紫砂桶形花盆,年代,现代
现代紫砂秦钟壶,年代,现代
现代白砂梅花瓶,年代,现代
现代三色砂特奎上笔筒,年代,现代
现代绿砂合菱壶,年代,现代
现代绿砂仿古壶,年代,现代
现代红砂得球壶,年代,现代
现代紫砂葵枚古壶,年代,现代
现代二色砂青蛙荷花壶,年代,现代
现代吕尧臣竹节形紫砂提梁壶,年代,现代
现代吕尧臣紫砂圆壶,年代,现代
现代吕益仙松鼠葡萄纹紫砂圆壶,年代,现代
现代范洪泉松桩形紫砂壶,年代,现代
现代巨华竹节形紫砂圆壶,年代,现代
现代顾绍培长方形紫砂花盆,年代,现代
现代吴纯耿六方紫砂壶,年代,现代
现代吴震制向阳刻竹石松鸟纹紫砂象腿瓶,年代,现代
现代吴震制向阳刻竹石松鸟纹紫砂象腿瓶_1,年代,现代
现代李碧芳长方形紫砂花盆,年代,现代
现代红波刻花鸟树石纹紫砂花盆,年代,现代
现代研陶刻毛主席诗词四方竹节形紫砂笔筒,年代,现代
现代□□三角形紫砂花盆,年代,现代
现代红雨刻绶带玉兰紫砂花瓶,年代,现代
现代徐秀芳紫砂茶具,年代,现代
现代东鹰刻紫砂花盆、托,年代,现代
现代东鹰刻紫砂花盆、托_1,年代,现代
现代潘持平制红波刻长方形紫砂花盆,年代,现代
现代潘持平制红波刻长方形紫砂花盆_1,年代,现代
现代红波刻雄鸡山花紫砂鱼尾瓶,年代,现代
现代茂制紫砂梅桩笔筒,年代,现代
现代何挺初制绿泥荷叶壶,年代,现代
现代“打金枝”昆剧戏文无锡泥塑,年代,现代
现代“断桥”昆剧戏文无锡泥塑,年代,现代
现代“探寒窑”昆剧戏文无锡泥塑,年代,现代
现代“活捉张三郎”昆剧戏文无锡泥塑,年代,现代
现代“包公”昆剧戏文无锡泥塑,年代,现代
现代陈士美昆剧戏文无锡泥塑,年代,现代
现代五虎将昆剧戏文无锡泥塑,年代,现代
现代八仙昆剧戏文无锡泥塑,年代,现代
现代“王巧云”柿蒂钮紫砂方壶,年代,现代
现代紫砂瓜楞形壶,年代,现代
现代喻湘莲“十五贯”戏文无锡惠山泥人,年代,现代
现代宇宙锋戏文无锡惠山泥人,年代,现代
现代喻湘莲“霸王别姬”戏文无锡惠山泥人,年代,现代
现代贵妃醉酒戏文无锡惠山泥人,年代,现代
现代喻湘莲“笑死牛皋”戏文无锡惠山泥人,年代,现代
现代喻湘莲“海瑞罢官”戏文无锡惠山泥人,年代,现代
现代“吴云根”竹节形紫砂壶,年代,现代
现代“邵陆大”紫砂茶具,年代,现代
现代“吴云根”竹节形紫砂茶具,年代,现代
现代任淦庭“喜鹊登梅”紫砂板,年代,现代
现代竹节形紫砂茶具,年代,现代
现代“顾景舟”提梁紫砂壶,年代,现代
现代“周桂珍”提梁紫砂壶,年代,现代
现代扁圆龙咀紫砂壶,年代,现代
现代绿砂菊花壶,年代,现代
现代绿砂梅桩壶,年代,现代
现代紫砂甸螺烟缸,年代,现代
现代紫砂甸螺烟缸_1,年代,现代
现代泥塑旧戏文“十五贯”人物,年代,现代
现代泥塑旧戏文“十五贯”人物_1,年代,现代
现代泥塑旧戏文“十五贯”人物_2,年代,现代
现代泥塑旧戏文“十五贯”人物——况钟与刘阿鼠,年代,现代
现代翻模泥人旧戏文“焦赞”头像,年代,现代
现代翻模泥人旧戏文“焦赞”头像_1,年代,现代
现代翻模泥人旧戏文“关胜”头像,年代,现代
现代翻模泥人旧戏文“李逵”头像,年代,现代
现代翻模泥人旧戏文“高登”头像,年代,现代
现代翻模泥人旧戏文脸谱头像,年代,现代
现代雕梅枝黄砂茶壶,年代,现代
现代雕菊花黄砂茶壶,年代,现代
现代菊瓣砂茶壶,年代,现代
现代刻梅雀柿子形黄砂壶,年代,现代
现代杂果绿砂荷叶洗,年代,现代
现代绿砂荷叶蟹洗,年代,现代
现代白釉裹菊瓣砂茶壶,年代,现代
现代竹节提梁砂茶壶,年代,现代
现代紫砂叠花松鼠葡萄茶具,年代,1950年
现代紫砂回文边茶具,年代,1950年
现代紫砂竹节文茶具,年代,1950年
现代紫砂八角形茶具,年代,1954年
现代紫砂竹节形壶,年代,1950年
现代紫砂菱花扁形壶,年代,1950年
现代紫砂六角笔筒,年代,1950年
现代紫砂六角笔筒_1,年代,1950年
现代紫砂方筒形花盆,年代,1954年
现代紫砂圆形花盆,年代,1954年
现代绿琉璃如意文滴水,年代,1950年
现代紫砂彩刻梅花双耳方形瓶,年代,1950年
当代青铜梁漱溟坐像,年代,2006年
当代青铜中国古代勇士造像,年代,2006年
当代青铜李白像,年代,2012年
当代青铜郑和像,年代,2012年
现代青铜佛洛伊德头像,年代,1999年
当代青铜阿炳像,年代,2006年
当代青铜冯友兰头像,年代,2001年
当代铸铜费孝通像,年代,2006年
当代青铜钱钟书坐像,年代,2007年
当代青铜马三立像,年代,2006年
当代青铜吴冠中像,年代,2013年
当代青铜石鲁坐像,年代,2011年
当代青铜孔子像,年代,2006年
现代青铜辜鸿铭像,年代,1998年
当代青铜苏天赐头像,年代,2001年
现代“中国教育工会”铜纪念章,年代,1950年
现代“和平万岁”铜纪念章,年代,1953年
现代刻花铜锁,年代,1950年
现代刻花铜锁_1,年代,1950年
现代卫星牌背铃闹钟,年代,1958年
现代火车牌电玉壳长三针背铃闹钟,年代,1958年
现代飞马牌方型秒盘暗铃闹钟,年代,1957年
现代飞马牌3”背铃闹钟,年代,1957年
现代工字牌3”长三针单套台钟,年代,1958年
现代工字牌2”长三针单套台钟,年代,1957年
现代马蹄牌5”长三针双铃闹钟,年代,1958年
现代铁锚牌长三针暗铃闹钟,年代,1956年
现代和平牌长三针暗铃闹钟,年代,1956年
现代飞星牌长三针干电游丝钟,年代,1957年
现代地球牌10”长三针圆形电挂钟,年代,1955年
现代三五牌座钟,年代,1958年
现代17占长三针手表,年代,1955年
现代和平牌17占长三针手表,年代,1956年
现代钻石牌粗马怀表,年代,1958年
现代亨得利小台钟,年代,1958年
现代辽塔牌闹钟,年代,1958年
现代上海牌长三钟十七占手表,年代,1958年
现代长三针十七占手表,年代,1959年
现代飞星牌汽车电钟,年代,1958年
现代白鸽牌电池挂钟,年代,1958年
现代六寸时运牌电钟,年代,1958年
现代闹钟,年代,1958年
现代马蹄牌双铃闹钟,年代,1958年
现代闹钟_1,年代,1958年
现代闹钟_2,年代,1958年
现代小台钟,年代,1958年
现代京钟牌双铃闹钟,年代,1958年
现代西湖牌闹钟,年代,1958年
现代飞星牌双铃闹钟,年代,1958年
现代占石牌怀表,年代,1958年
现代红旗怀表,年代,1958年
现代紫金山八音闹钟,年代,1958年
二十世纪日本九谷太岁款粉彩瓷狮,年代,1972年
现代傅抱石天池飞瀑图轴,年代,1961年
现代傅抱石古城里图横幅,年代,1961年
现代傅抱石“呵！长白山”图,年代,1961年
现代傅抱石鼓劲迎新年图轴,年代,1960年
现代傅抱石毛泽东《沁园春·长沙》词意图轴,年代,1965年
现代傅抱石芙蓉国里尽朝晖图轴,年代,1964年
现代傅抱石毛主席满江红词意图轴,年代,1964年
现代傅抱石龙盘虎踞今胜昔图轴,年代,1960年
现代傅抱石更喜岷山千里雪图横幅,年代,1953年
现代傅抱石枣园春色图轴,年代,1960年
现代傅抱石雨花台颂图横幅,年代,1959年
现代傅抱石韶山图卷,年代,1959年
现代傅抱石雨花台图轴,年代,1956年
傅抱石湘君涉江图,年代,1965年
傅抱石《漫游太华》,年代,1960年
唐云荷花蜻蜓图轴,年代,1949年
现代傅抱石篆刻“印痴”“一九五四”朱文石两面印,年代,1954年
现代傅抱石篆刻“抱石”朱白文石印,年代,1963年
现代傅抱石篆刻“一九六二”朱文石方印,年代,1962年
现代傅抱石篆刻“癸卯”朱文椭圆石印,年代,1963年
现代傅抱石篆刻“一九六五”朱文石印,年代,1965年
现代傅抱石篆刻“抱石”朱文石印,年代,1963年
现代傅抱石篆刻“甲辰所作”朱文石印,年代,1964年
现代傅抱石篆刻“抱石画记”白文石印,年代,1962年
现代傅抱石篆刻“一九六四”朱文石印,年代,1964年
现代傅抱石篆刻“傅”朱文石印,年代,1964年
现代傅抱石篆刻“南石斋”朱文石方印,年代,1959年
现代傅抱石篆刻“江山如此多娇”石印,年代,1959年
现代傅抱石篆刻“傅抱石”白文石方印,年代,1962年
现代傅抱石篆刻“江山如此多娇”白文石印,年代,1965年
现代傅抱石篆刻“毛泽东印”白文石印,年代,1959年
现代傅抱石篆刻“傅”朱文圆石印,年代,1962年
现代傅抱石篆刻“傅”朱文石印_1,年代,1965年
现代傅抱石篆刻“乙巳”朱文石印,年代,1965年
现代傅抱石篆刻“换了人间”白文石印,年代,1960年
现代傅抱石篆刻“陈雨田”石印,年代,1965年
现代傅抱石篆刻“一九六二”朱文石方印_1,年代,1962年
现代傅抱石篆刻“傅抱石”白文石印,年代,1959年
现代傅抱石篆刻“当惊世界殊”朱文长方石印,年代,1961年
魏紫熙 锦屏初秋图,年代,现代
钱松喦 山高水长图,年代,现代
亚明 游赤壁图,年代,现代
宋文治 仿古山水图,年代,现代
胡小石 节临《秦二世诏版》铭文轴,年代,现代
傅抱石 杜甫像图轴,年代,现代
傅抱石 蝶恋花图轴,年代,现代
傅抱石 西那亚城中俯瞰,年代,现代
傅抱石 一望大江开,年代,现代
傅抱石 东皇太乙图册页,年代,现代
陈之佛 梅鹤,年代,现代
陈之佛 春朝鸣喜,年代,现代
陈之佛 槐荫栖鸠,年代,现代
陈之佛 寒月双栖,年代,现代
陈之佛 梅雀图,年代,现代
傅抱石 山行遇雨图轴,年代,现代
陈之佛 桃花,年代,现代
陈之佛 双飞雁,年代,现代
陈之佛 红柿小鸟,年代,现代
陈之佛 花荫觅食,年代,现代
陈之佛 茶花,年代,现代
陈之佛 飞鸟迎春,年代,现代
陈之佛 茶梅欢禽,年代,现代
现代陈师曾峡山图轴,年代,现代
宜兴刻纸  芮金富  狮子楼,年代,现代
徐州社火马勺   马元脸谱,年代,现代
白族神像画,年代,现代
羌巫神刀,年代,现代
纳西族东巴铁佛冠,年代,现代
么些妇女胸饰银盒,年代,现代
张昭 ， 战神关羽的同伴,年代,现代
寿星 ： 长寿之神,年代,现代
道教纯洁的化身 ： 元始天尊 （ Yuanzhi Tianzun ）,年代,现代
“皇帝亲自前往城市 ， 接受值得称赞的官兵的报告 ” （ 第 1 号 ） 。15 der 西洋 — 系列,年代,现代
观众在 “紫禁城 ” 乌门午门前观看,年代,现代
“皇帝亲自前往城市 ， 接受值得称赞的官兵的报告 ” ， 第 15 页。,年代,现代
《奥罗伊 — 亚拉图战役》 （ Manju vs. Dzungaren ）,年代,现代
水牛与骑马的农民,年代,现代
水牛与骑马护卫,年代,现代
斯滕德弥勒,年代,现代
观世音菩萨帕德玛帕尼,年代,现代
系列名称 ： 抗击苗族,年代,现代
女仆的鞋子 （ ）,年代,现代
"""兔子形状""",年代,现代
财富之神与官员,年代,现代
祠堂柱子(慈堂朱子),年代,现代
为官员黄廷才 （ 1654 — 1723 ）,年代,现代
沈伟神位_1,年代,现代
Gin 链接鞋,年代,现代
《莲花鞋》,年代,现代
Hammelkopffleisch 的销售人员,年代,现代
大蒜的捣碎,年代,现代
葡萄干酪与葡萄,年代,现代
剧场演员的胡子,年代,现代
竹子上的臭虫,年代,现代
男人吹玻璃喇叭,年代,现代
一个盲人与灯笼,年代,现代
水运输机错过了喷泉,年代,现代
盲人在墙上,年代,现代
墙冠上的雕塑家,年代,现代
蜥蜴向死亡之神祈祷,年代,现代
带苦菜的男人,年代,现代
男人穿着瓷器,年代,现代
朱巴杰 The Ebergeist Zhu Bajie,年代,现代
骂人僧侣,年代,现代
小麦种植在墙冠上,年代,现代
烟囱烟,年代,现代
脚护士,年代,现代
Pirol 攻击鸽子,年代,现代
农民在瓷器店前,年代,现代
盲人刀具磨床,年代,现代
醉酒的唐纳德,年代,现代
《大地之神》,年代,现代
龙王庙被洪水淹没,年代,现代
悲伤的僧侣,年代,现代
男子用大麻棒打狼,年代,现代
穆罕默德人跳入河中,年代,现代
用玉米制作,年代,现代
在一个磨坊里玩琴,年代,现代
弓箭兵,年代,现代
旅行者正在移动,年代,现代
带眼镜的眼镜,年代,现代
买羊肉,年代,现代
松树下的曼陀林演奏者,年代,现代
挂新年画,年代,现代
莫恩菲尔德研究,年代,现代
猴王在射箭时遇到野兽。,年代,现代
鬼魂在演奏大声,年代,现代
移动鞋销售员,年代,现代
新年蛋糕与日期,年代,现代
无能的天主,年代,现代
通过杀戮致富,年代,现代
献给长寿之神的祭品,年代,现代
借用鸭子,年代,现代
长寿之神与驴,年代,现代
大头鱼与马鞍,年代,现代
虚假的女神崇拜,年代,现代
被剥夺的木偶剧,年代,现代
燕子猎人,年代,现代
愚蠢的乞丐,年代,现代
一个男人画画 ， 粘上天空,年代,现代
愚蠢的农民,年代,现代
缓慢的乌龟,年代,现代
一个盲人牵着一头驴,年代,现代
戴着玫瑰花环的虚伪老虎,年代,现代
魔鬼协议,年代,现代
老虎的惩罚,年代,现代
寿兴,年代,现代
老子骑着水牛,年代,现代
念佛来生四方公引年佛来生四方公公引年佛来生四方公公引引年佛来生四方公公引引年佛来生四方公引引,年代,现代
乾隆皇帝金川战役视图 15 （ 1775/76 ）,年代,现代
图什水容器,年代,现代
木雕神座 （ Mu diao shenzuo 木雕神座 ）,年代,现代
德尔贝德王子 Buyan Tegüs 的肖像,年代,现代
肖像的 Gendün,年代,现代
塞林王子的肖像,年代,现代
蒙古王子埃尔德尼的肖像 （ 中文 ： 额尔德尼埃尔德尼 ） （ Dorbed 系列 ， Nr.（ 7 ）,年代,现代
满洲军官 Koma 的肖像 ， 系列 2b27,年代,现代
姓名印章,年代,现代
达拉尼的表演？,年代,现代
龙头 — Tsam — 舞蹈,年代,现代
中国建筑美 （ Das Marmorschiff （1） ）,年代,现代
50 张来自印度、中国、韩国和日本的照片,年代,现代
Orakelknochen 甲骨文字,年代,现代
Orakelknochen 甲骨文字_1,年代,现代
算盘 （ 算盘 ）,年代,现代
曼朱戈萨,年代,现代
照片集日本 ， 中国 1913 年。,年代,现代
Yongle dadian 永乐大典 — a ） Kap. 93 第 903 — 904 节 b ） 第 1033 章 （ 12 双页 ） c ） 章。13189 和 13190 （ 29 双页 ）,年代,现代
马兰指南 ： 芥末花园,年代,现代
风水 — 风水师,年代,现代
场景从戏剧十字坡 Shizi po （ 地方或斜坡 S. ）,年代,现代
翠屏山 （Cuipingshan： The Cuiping Mountain）,年代,现代
药剂师称重,年代,现代
药剂师切割机,年代,现代
医生和病人 （ 脉搏 ）,年代,现代
面部斑点治疗,年代,现代
我猜是。雷公雷公 ， 雷公,年代,现代
中山羊的星神 ， 名叫 Chao Lei,年代,现代
「康子給（孔子）藥康子給（孔子）藥」,年代,现代
Der Gelehrte Li Shizhen 李时珍 （ 1518 — 1593 ）,年代,现代
“风景 ”,年代,现代
宜景装饰,年代,现代
瓦当瓦当_1,年代,现代
谢夫斯塔尔,年代,现代
观音菩萨观音菩萨,年代,现代
Fabletier 与领袖,年代,现代
愚蠢的仆人,年代,现代
新娘 / 黑蛇小青,年代,现代
格罗特,年代,现代
肖像的 Yamantar,年代,现代
蒙古王子 Corgiyamz 'an 的肖像 （ 中国。Chuoerjiamucan ） ， 序列号2B47 。,年代,现代
拉贾格拉会议,年代,现代
布道场景 ： 和尚与黑皮肤公主,年代,现代
佛陀的说教,年代,现代
飞行神,年代,现代
马拉斯攻击,年代,现代
观音经 — 菩萨帮助危险,年代,现代
两个跪着的僧侣,年代,现代
佛陀和伴随人物,年代,现代
佛教布道场景的一部分,年代,现代
Fragment 保护伞,年代,现代
Garuda （ 神话中的鸟 ） 与蛇,年代,现代
五个僧侣 — 布道场景片段,年代,现代
德瓦塔头 （ Devata Head ）,年代,现代
神圣的,年代,现代
散花 Apsaras — 飞行人物,年代,现代
关门后的花朵,年代,现代
创始人和僧侣,年代,现代
《穆克提卡公主的传说》,年代,现代
一幅寺庙画的碎片,年代,现代
一幅寺庙画的碎片_1,年代,现代
布道场景的一部分 ： 佛陀前的纳加对 ， 头部和上半身被部分摧毁,年代,现代
一幅寺庙画的碎片_2,年代,现代
雅卡塔场景,年代,现代
雅高条纹,年代,现代
雅卡塔场景_1,年代,现代
遗迹的分配,年代,现代
佛陀的说教_1,年代,现代
弗里斯与三个 Jataka 表现,年代,现代
维吾尔族夫妇,年代,现代
创始人,年代,现代
创始人和僧侣_1,年代,现代
奔驰的马,年代,现代
飞翔的 Apsaras,年代,现代
四个托卡里赞助人和跪着的仆人献祭,年代,现代
圆顶与佛陀,年代,现代
僧侣 Ajnatakaundinya,年代,现代
与僧侣一起崇拜,年代,现代
图西塔天菩萨,年代,现代
散花 Apsaras — 飞行人物_1,年代,现代
玛拉的进攻,年代,现代
横渡恒河 / Ganga,年代,现代
弗里斯与 stupas 和修女,年代,现代
弗里斯与 Jataka 代表,年代,现代
Fragment of a Buddha 布道,年代,现代
飞行神_1,年代,现代
和尚 （ Kashyapa ）,年代,现代
佛陀在龙舟上,年代,现代
佛陀面前的 Suddhodana,年代,现代
一对捐赠夫妇的一部分 ： 维吾尔王子的肖像,年代,现代
雅高景,年代,现代
地狱场景_1,年代,现代
精灵公主的传说 （ 英语 ： The Legend of the Elf Princess ）,年代,现代
维万塔拉 — 雅塔卡,年代,现代
僧侣与捐赠者,年代,现代
神与花碗,年代,现代
