title,museum,era,material,size
Bodhisattva,柏林州立博物馆,,粘土，涂有镀金的残余物,高度x宽度x深度：45.5 x 20.5 x 16.5厘米
Bodhidharma 達摩面,柏林州立博物馆,1923,纸;材料,对象维度：H：21厘米
Devata头,柏林州立博物馆,,粘土，油漆,高度x宽度x深度：29 x 21 x 14厘米（带有螺纹杆）
菩萨头的形状副本,柏林州立博物馆,,石膏形式（复制），3部分,高度x宽度x深度：37 x 28 x 14厘米
菩萨头的形状副本,柏林州立博物馆,,石膏形式（复制），3部分,高度x宽度x深度：34.5 x 23.5 x 16.5厘米
和尚头的形状副本,柏林州立博物馆,,Gips,高度x宽度x深度：37.5 x 29 x 17厘米
石膏形式的零件副本,柏林州立博物馆,,石膏形式（部分副本）,高度x宽度x深度：20.5 x 25 x 7厘米
弗隆,柏林州立博物馆,,用油漆铸造的石膏涂料,高度x宽度x深度：6.8 x 6 x 6厘米（带底座）
马头,柏林州立博物馆,,用油漆铸造的石膏涂料,高度x宽度x深度：16 x 8.2 x 6.5厘米马头
坐在骑士的腿,柏林州立博物馆,,用油漆铸造的石膏涂料,高度x宽度x深度：16.5 x 10 x 8厘米
坐在骑士的腿,柏林州立博物馆,,用油漆铸造的石膏涂料,高度x宽度x深度：14 x 12 x 5厘米
坐在骑士的腿,柏林州立博物馆,,用油漆铸造的石膏涂料,高度x宽度x深度：21.3 x 15.8 x 6.5厘米
坐在骑士的腿,柏林州立博物馆,,用油漆铸造的石膏涂料,高度x宽度x深度：15.7 x 15.9 x 5.5厘米
骑士的头（前线）,柏林州立博物馆,,用油漆铸造的石膏涂料,高度x宽度x深度：14.8 x 6 x 5厘米
骑士的头,柏林州立博物馆,,粘土，燃烧并带有颜色残留物,高度x宽度x深度：10.3 x 8 x 7 cm
墙壁绘画：跪着骑骑士用头盔和盔甲,柏林州立博物馆,1906 - 1907,Foto,盘子尺寸（照片）：13 x 18厘米
苏州运河与桥梁,柏林州立博物馆,um 1900,正面的SW在纸板上,图像格式（照片）：20.5 x 26.6厘米
Suzhou Seeanlegestelle,柏林州立博物馆,um 1900,正面的SW在纸板上,图像格式（照片）：21 x 26.6厘米
Pagode bei Wuhu,柏林州立博物馆,um 1900,正面的SW在纸板上,高度x宽度：31.9 x 40.6厘米
银岛，武湖附近的jangtse岛,柏林州立博物馆,um 1900,正面的SW在纸板上,图像格式（照片）：20.5 x 26.2厘米
上海中心的茶馆的桥梁,柏林州立博物馆,um 1900,正面的SW在纸板上,图像格式（照片）：21.3 x 27.2厘米
英国俱乐部，上海,柏林州立博物馆,um 1900,正面的SW在纸板上,图像格式（照片）：20.8 x 26.8厘米
Clubhaus Shanghai,柏林州立博物馆,um 1900,正面的SW在纸板上,图像格式（照片）：20.3 x 27.3厘米
"Long - Hua Pagode vor 1892, Shanghai",柏林州立博物馆,"Qing (Mandschu) –Dynastie (Ende), vor 1892",正面的SW在纸板上,高度x宽度：45 x 32厘米
Macao,柏林州立博物馆,um 1900,正面的SW在纸板上,图像格式（照片）：21 x 27.3厘米
茶7,柏林州立博物馆,um 1900,正面的SW在纸板上,图像格式（照片）：22 x 27.6厘米
打包出口茶,柏林州立博物馆,um 1900,正面的SW在纸板上,图像格式（照片）：20.5 x 27.5厘米
年轻妇女的官员,柏林州立博物馆,um 1900,正面的SW在纸板上,高度x宽度：32.5 x 39.3厘米
埃森（Manzhu）的男性公司,柏林州立博物馆,um 1900,正面的SW在纸板上,图像格式（照片）：20.3 x 26.8厘米
里克沙库利（Rickschakuili）和货物携带者,柏林州立博物馆,um 1900,正面的SW在纸板上,图像格式（照片）：27.5 x 20.8厘米
通往明格坟墓的方式,柏林州立博物馆,um 1900,正面的SW在纸板上,图像格式（照片）：21.2 x 27厘米
进入南京的圣皇帝的坟墓,柏林州立博物馆,um 1900,正面的SW在纸板上,图像格式（照片）：21.2 x 27厘米
Nanjing的城墙和目标,柏林州立博物馆,um 1900,正面的SW在纸板上,图像格式（照片）：21 x 27.2厘米
公司（军事）,柏林州立博物馆,um 1900,正面的SW在纸板上,图像格式（照片）：20.5 x 27厘米
Kuikiang附近的稻田,柏林州立博物馆,um 1900,正面的SW在纸板上,图像格式（照片）：21.8 x 27.8厘米
Pagode in Suzhou,柏林州立博物馆,um 1900,正面的SW在纸板上,高度x宽度：32 x 41.5厘米
茶和水稻种植,柏林州立博物馆,um 1900,正面的SW在纸板上,图像格式（照片）：22.4 x 28.2厘米
小孤儿,柏林州立博物馆,um 1900,正面的SW在纸板上,图像格式（照片）：21.2 x 26.3厘米
上臂,柏林州立博物馆,,木头，雕刻，镀金,高度x宽度x深度：6.5 x 2.1 x 1.5厘米
Bodhisattva,柏林州立博物馆,,粘土，油漆,高度x宽度x深度：11.9 x 7.9 x 9.5厘米
fengshui yi 風水儀,柏林州立博物馆,"Qing (Mandschu) –Dynastie (Ende), um 1900",木材，墨水，颜料，,对象维度：6 x 4 x 1.6厘米
Ruyi,柏林州立博物馆,18世纪,"Cloisonné-Technik, Jade, Vergoldung",Länge: 40 cm
装饰品（带莲花的船只）,柏林州立博物馆,,用油漆铸造的石膏涂料,高度x宽度x深度：12.5 x 17 x 2.5厘米
Devata Head（Nirvana Group）,柏林州立博物馆,,空气干燥的粘土和绘画层的残余物,高度x宽度x深度：24 x 22.5 x 15.5厘米
来自Parinirvana的Mönchskopf,柏林州立博物馆,,用油漆铸造的石膏涂料,高度x宽度x深度：29 x 20.5 x 13厘米
Huang Tianhua 黃天化 mit Keulen in Händen,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),木头，彩色,
Taishan-Figur: Longsu ho 龍鬚虎,柏林州立博物馆,"Qing (Mandschu) –Dynastie (Ende), um 1890-1894",木头，有色,
Pagode am See,柏林州立博物馆,,纸，有色,高度X宽度：大约13 x 17厘米
女孩,柏林州立博物馆,,"Textil, Haar",身高：25.5厘米
猿,柏林州立博物馆,"Qing (Mandschu) –Dynastie (Ende), vor 1878",Textil,高度x宽度：22.5 x 14厘米
道斯·天空官（Starry God）,柏林州立博物馆,Ming-Dynastie (Ende),金属（合金）,对象维度：86 x 53 x 42厘米
剥,柏林州立博物馆,Qing-Dynastie-Yongzheng-Ära-um 1720-1730,瓷器蓝色蓝色装饰,
葡萄酒罐与洪穆木插头,柏林州立博物馆,Qing-Dynastie-Kangxi-Ära,,身高：21厘米（带盖）
瓶盖,柏林州立博物馆,Ming-Dynastie-Wanli-Ära-um 1610,,高度：47.5厘米（带盖）
带盖的秃头花瓶,柏林州立博物馆,Qing-Dynastie-Kangxi-Ära-17. Jh.,,身高：43厘米（带盖）
带盖的秃头花瓶,柏林州立博物馆,Qing-Dynastie-Kangxi-ära-Frühes18世纪。,,身高：40厘米（带盖）
剥,柏林州立博物馆,Ming-Dynastie-Wanli-Ära,,高度x直径：4.2 x 16.8厘米
南南的明格坟墓的方式,柏林州立博物馆,,演示表格：纸板上的照片,高度x宽度：16 x 28.5厘米
钥匙,柏林州立博物馆,,木头，雕刻，油漆油漆,长度x宽度x深度：19.7 x 3.5 x 1.1厘米
Reispapierbild,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),标记纸（米纸），水彩，纸，纺织带,高度x宽度：9.9 x 6.6厘米
Reispapierbild,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),标记纸（米纸），水彩，纸，纺织带,高度x宽度：10 x 6.6厘米
Reispapierbild,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),标记纸（米纸），水彩，纸，纺织带,高度x宽度：10 x 6.6厘米
Reispapierbild,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),标记纸（米纸），水彩，纸，纺织带,高度x宽度：10 x 6.6厘米
Reispapierbild,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),标记纸（米纸），水彩，纸，纺织带,高度x宽度：10 x 6.6厘米
Reispapierbild,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),标记纸（米纸），水彩，纸，纺织带,高度x宽度：9.9 x 6.5厘米
Reispapierbild,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),标记纸（米纸），水彩，纸，纺织带,高度x宽度：9.9 x 6.6厘米
Reispapierbild,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),标记纸（米纸），水彩，纸，纺织带,高度x宽度：9.9 x 6.7厘米
Reispapierbild,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),标记纸（米纸），水彩，纸，纺织带,高度x宽度：10 x 6.6厘米
Reispapierbild,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),标记纸（米纸），水彩，纸，纺织带,高度x宽度：10 x 6.5厘米
Reispapierbild,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),标记纸（米纸），水彩，纸，纺织带,高度x宽度：10 x 6.6厘米
Reispapierbild,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),标记纸（米纸），水彩，纸，纺织带,高度x宽度：9.9 x 6.5厘米
Bodhisattvakopf的形式,柏林州立博物馆,,Gipsform,高度x宽度x深度：35.5 x 28.5 x 16厘米
菩萨头的形式,柏林州立博物馆,,Gipsform,高度x宽度x深度：33.5 x 30 x 14.5厘米
和尚头的形式,柏林州立博物馆,,Gipsform,高度x宽度x深度：39.5 x 27 x 17厘米
无头佛的形式,柏林州立博物馆,,Gipsform,高度x宽度x深度：68.5 x 30 x 11厘米
Torso - Fragment,柏林州立博物馆,,空气干燥的粘土，油漆,高度x宽度x深度：44.1 x 56 x 19厘米
钥匙,柏林州立博物馆,,木头，雕刻,高度x宽度x深度：13.5 x 1.5 x 1.3厘米
钥匙,柏林州立博物馆,,木头，雕刻，油漆油漆,高度x宽度x深度：22.4 x 1.3 x 3.5厘米
钥匙,柏林州立博物馆,,木头，雕刻，油漆油漆,高度x宽度x深度：23.9 x 1.8 x 3.9厘米
Marquis Yi's Chime-Bells,柏林州立博物馆,,大花环（聚碳酸酯），铝，防护漆，印刷颜色，塑料，纸张,Objektmaß: (Cover) 10 x 142 x 189 mm
雕刻的木材，带有焊接和花卉图案,柏林州立博物馆,,Holz,高度x宽度x深度：24.3 x 10 x 5.5厘米
Obststand,柏林州立博物馆,,演示表格：在纸板上（照片板）,图像格式（照片）：20.4 x 27.4厘米
木钥匙,柏林州立博物馆,,Holz,高度x宽度x深度：2.4 x 2.8 x 19厘米
站立的佛,柏林州立博物馆,,木头，雕刻，有颜色残留物,高度x宽度x深度：18 x 6.5 x 2.5厘米
带着站立佛的奉献桌,柏林州立博物馆,,木头上的颜色,高度x宽度x深度：21.3 x 8.3 x 0.6厘米
大象腿,柏林州立博物馆,,木头，雕刻，绘画层的遗迹,高度x宽度x深度：11 x 4 x 3厘米
狮子,柏林州立博物馆,,砂岩,高度x宽度x深度：11.5 x 7 x 7 cm
猴子作为音乐家,柏林州立博物馆,,陶土，被烧毁,高度x宽度x深度：6 x 2.5 x 2.5厘米
"Rossette, Blume",柏林州立博物馆,,粘土，油漆,高度x宽度x深度：13.9 x 17.7 x 4厘米
中国装饰品,柏林州立博物馆,,象牙,高度x宽度x深度：3.1 x 4.5 x 0.5厘米
站立的神,柏林州立博物馆,,Bronze,高度x宽度x深度：7.5 x 3 x 1 cm
座位骑士的腿的形式,柏林州立博物馆,,Gipsform,高度x宽度x深度：22 x 39 x 10厘米
头部有胡须的碎片,柏林州立博物馆,,声音，绘画残余,高度x宽度x深度：5.2 x 3.4 x 2.2 cm（a）
Buddhakopf,柏林州立博物馆,,粘土，油漆,高度x宽度x深度：6 x 3.8 x 2.5厘米
家具,柏林州立博物馆,,木头，旋转,高度x宽度x深度：36 x 6.5 x 5.5厘米
根据,柏林州立博物馆,,木头，雕刻，有颜色残留物,高度x宽度x深度：11.2 x 10 x 6.3厘米
王位的两个部分,柏林州立博物馆,,木头，雕刻,高度x宽度x深度：a）48.2 x 5.5 x 7.5厘米
stamp,柏林州立博物馆,,Lehm,高度x宽度x深度：13 x 17 x 2厘米
Kamel,柏林州立博物馆,,Bronze,高度x宽度x深度：2.3 x 2 x 0.3厘米
剩下的黄铜板,柏林州立博物馆,,Messing,高度x宽度x深度：6.4 x 12.5 x 0.2厘米
皮带Anenia Hirsch,柏林州立博物馆,,Bronze,高度x宽度x深度：4.3 x 6.2 x 0.5厘米
佛教神,柏林州立博物馆,,Bronze,高度x宽度x深度：6.1 x 3 x 1.6厘米
Avalokiteshvara (?),柏林州立博物馆,,Bronze,高度x宽度x深度：9.7 x 2.5 x 1.5厘米
佛教神,柏林州立博物馆,,Bronze,高度x宽度x深度：6.6 x 1.8 x 1.5厘米
神,柏林州立博物馆,,Bronze,高度x宽度x深度：7.1 x 2.5 x 1.5厘米
皮带扣,柏林州立博物馆,,肾脏，雕刻,高度x宽度x深度：3.8 x 4.5 x 1厘米
两个小雕像,柏林州立博物馆,,Bronze,高度x宽度x深度：5.2 x 1.5 x 1.3 cm（a）
小佛塔,柏林州立博物馆,,Lehm,高度x宽度x深度：9 x 8.5 x 8.5厘米
站立的佛,柏林州立博物馆,,刺穿的青铜盘,高度x宽度x深度：5.8 x 3.5 x 0.3厘米
框架的其余部分,柏林州立博物馆,,木头，雕刻和涂漆,高度x宽度x深度：10.4 x 37.5 x 5 cm
Holzsiegel,柏林州立博物馆,,木头，雕刻和涂漆,高度x宽度x深度：3.6 x 1.5 x 2.5厘米
木制奉献的佛塔神社,柏林州立博物馆,,红色的木头,高度x宽度x深度：6.7 x 5.2 x 4厘米
欧洲神灵,柏林州立博物馆,,木头，雕刻,高度x宽度x深度：16 x 6 x 3.5厘米
lower,柏林州立博物馆,,木头，雕刻，涂漆和镀金,高度x宽度x深度：13.6 x 4.5 x 3厘米
印度神,柏林州立博物馆,,木头，雕刻，有颜色残留物,高度x宽度x深度：16.6 x 7 x 2.3厘米
珠宝链的吊坠,柏林州立博物馆,,"Holz, geschnitzt, mit Resten von Vergoldung",高度x宽度x深度：10.6 x 4.5 x 0.5厘米
Karyatide,柏林州立博物馆,,木头，雕刻和涂漆,高度x宽度x深度：16.4 x 6 x 4厘米
站立的佛,柏林州立博物馆,,木头，雕刻有绘画痕迹,高度x宽度x深度：21 x 6 x 3厘米
站立的佛,柏林州立博物馆,,木头，雕刻有绘画痕迹,高度x宽度x深度：22.5 x 4.5 x 4厘米
小头,柏林州立博物馆,,木头，雕刻,高度x宽度x深度：6 x 5 x 3厘米
Stupa,柏林州立博物馆,,木头，雕刻,高度x宽度x深度：23.5 x 6.2 x 4厘米
Buddhakopf,柏林州立博物馆,,木头，雕刻,高度x宽度x深度：5.5 x 4 x 3厘米
崇拜者的身影,柏林州立博物馆,,木头，有绘画痕迹,高度x宽度x深度：6.2 x 4.3 x 1.5厘米
头部怪诞,柏林州立博物馆,,木头，雕刻有绘画痕迹,高度x宽度x深度：13 x 11.4 x 3.2厘米
Kamel,柏林州立博物馆,,木材，带有颜色残留物,高度x宽度x深度：12.5 x 6 x 3.5厘米
与曼多拉站在莲花上,柏林州立博物馆,,木材，有绘画和镀金的痕迹,高度x宽度x深度：16.5 x 6.5 x 2.5厘米
将佛陀坐在高位上,柏林州立博物馆,,木头，雕刻有绘画痕迹,高度x宽度x深度：18 x 9.2 x 4厘米
头冠,柏林州立博物馆,,木头，雕刻,高度x宽度x深度：8 x 8 x 3.5厘米
吨瓷砖（属于一起）,柏林州立博物馆,,声音，被烧毁和图案,区域：40cm²
Sitzende Buddhafigur ohne Kopf,柏林州立博物馆,,木头，雕刻有绘画痕迹,高度x宽度x深度：16.3 x 13 x 3.5厘米
菩萨头,柏林州立博物馆,,木头，雕刻,高度x宽度x深度：14 x 8 x 5厘米
Avalokiteshvara (?),柏林州立博物馆,,雕刻的木材，有绘画和镀金的痕迹,高度x宽度x深度：10.7 x 3.2 x 2.5厘米
Loto宝座与头骨,柏林州立博物馆,,木头，雕刻，镀金,高度x宽度x深度：2.5 x 10 x 4.5厘米
有长笛的男孩,柏林州立博物馆,,木头，雕刻，有颜色残留物,高度x宽度x深度：8 x 5.4 x 1.5厘米
跪着无头木雕,柏林州立博物馆,,木头，雕刻，绘画层的遗迹,高度x宽度x深度：8.7 x 5.1 x 4.5厘米
木雕头,柏林州立博物馆,,木头，雕刻,高度x宽度x深度：8.6 x 4.4 x 4.9厘米
door,柏林州立博物馆,,Holz,高度x宽度x深度：33.2 x 23.3 x 7 cm
山墙形状的IT建筑装饰与两只鸟,柏林州立博物馆,,木头，有红色的残余物,高度x宽度x深度：51 x 17.2 x 3.3厘米
瓦,柏林州立博物馆,,声音，燃烧，图案,高度x宽度x深度：a）35.5 x 21 x 5 cm
地砖,柏林州立博物馆,,声音，被烧毁和图案,区域：32厘米
Devata头,柏林州立博物馆,,Lehm,高度x宽度x深度：22 x 13 x 8厘米
恶魔头,柏林州立博物馆,,粘土，涂有镀金的残余物,高度x宽度x深度：23.8 x 19 x 9厘米
戴双尖胡须的恶魔头,柏林州立博物馆,,粘土，燃烧并带有颜色残留物,高度x宽度x深度：18.4 x 13.5 x 7 cm
菩萨头,柏林州立博物馆,,粘土，油漆,高度x宽度x深度：19.5 x 13 x 9厘米
菩萨头,柏林州立博物馆,,粘土，油漆,高度x宽度x深度：14.5 x 11 x 10厘米
大Devata头,柏林州立博物馆,,空气干燥的粘土和绘画层的残余物,高度x宽度x深度：35 x 20 x 23厘米
Drachenrobe (jifu),柏林州立博物馆,1800 - 1810,,长度x宽度：最大：143 x 209厘米
药房广告通过药品膏药,柏林州立博物馆,,纸;墨水,图片：20.3 x 25.7厘米
剥,柏林州立博物馆,Kangxi-Periode-Qing (Mandschu) -Dynastie,瓷器，绿色釉面,高度x直径：5.9 x 11.2厘米
Fabeltier,柏林州立博物馆,Tang-Dynastie,带有溢流的音调,物体维度：45 x 20.5 x 26厘米
脚杯,柏林州立博物馆,Neolithikum-Dawenkou-Kultur,Ton,高度x直径：18.8 x 7.9厘米
剥,柏林州立博物馆,Qianlong-Periode-Qing (Mandschu) -Dynastie,浅绿色的玉,高度x直径：7.2 x 16.2厘米（开口）
汉时期石头的人物组,柏林州立博物馆,1898年之前,墨水在纸上,
"""Queen Record"", chin. Titel",柏林州立博物馆,设置日期：13.12.2000 12:17:04,,速度（记录）：33 rpm
Tanguten am Kukunor (Qinghai-) See,柏林州立博物馆,um 1900,演示表格：隐藏在纸板上,图像格式（照片）：9.8 x 13.9厘米
脚壳，装饰“三个朋友”,柏林州立博物馆,明dynastie-2。半15世纪,蓝色和白色瓷器,高度x直径：12.2 x 17.9厘米
小木材的顶部,柏林州立博物馆,,木头，雕刻,高度x宽度x深度：5.8 x 2.5 x 1.1厘米
Kopf,柏林州立博物馆,,木头，雕刻,高度x宽度x深度：4.7 x 2.7 x 3厘米
小皮包,柏林州立博物馆,,Leder,高度x宽度x深度：9.3 x 8.2 x 0.9厘米
官,柏林州立博物馆,,粘土，带有颜色残留,高度x宽度x深度：10 x 4.5 x 6厘米
“胸载”,柏林州立博物馆,"Qing (Mandschu) –Dynastie (Ende), vor 1878",绘画；金属,"Objektmaß: d: 10 x 6,7 x 10 cm"
洞穴全景,柏林州立博物馆,1906-1907,,物体维度：13 x 18厘米
"Views of Peking and Environments, Nr. 39: Pei Hai",柏林州立博物馆,ca. 1930,正面的SW在纸板上,图像格式（照片）：照片19.8 x 25.8厘米
团体肖像,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑物和人,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
团体肖像,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑物，粘土塑料，壁画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑物，粘土塑料，壁画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
人，街景,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
人,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
人,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
人,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画和铭文,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画和铭文,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
铭文,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Inschriften,柏林州立博物馆,1902-1914,,Plattengröße (Foto): 13 x 18 cm
铭文,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
铭文,Staatliche Museen zu Berlin,1902-1914,,盘子尺寸（照片）：13 x 18厘米
铭文,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Gebäude,Staatliche Museen zu Berlin,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,Staatliche Museen zu Berlin,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,Staatliche Museen zu Berlin,1902-1914,,Plattengröße (Foto): 13 x 18 cm
Ruinenfeld,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,Plattengröße (Foto): 13 x 18 cm
Gebäude,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Wandmalerei,柏林州立博物馆,1902-1914,,Plattengröße (Foto): 13 x 18 cm
壁画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,Staatliche Museen zu Berlin,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Wandmalerei,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,Staatliche Museen zu Berlin,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1902-1914,,Plattengröße (Foto): 13 x 18 cm
洞穴全景,Staatliche Museen zu Berlin,1913-1914,,盘子尺寸（照片）：13 x 18厘米
Wandmalerei,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1906-1907,,Plattengröße (Foto): 13 x 18 cm
建筑和全景,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1906-1907,,Plattengröße (Foto): 13 x 18 cm
Ruinenfeld,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
原位降低塑料基础,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1906-1907,,Plattengröße (Foto): 13 x 18 cm
建筑物，粘土塑料，壁画,Staatliche Museen zu Berlin,1906-1907,,盘子尺寸（照片）：13 x 18厘米
建筑物，人,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
建筑物，人,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,Objektmaß: 13 x 18 cm
Ruinenfeld,Staatliche Museen zu Berlin,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Höhlen-Panorama,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
建筑,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,Plattengröße (Foto): 13 x 18 cm
Ruinenfeld,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
建筑和全景,柏林州立博物馆,1902-1914,,Plattengröße (Foto): 13 x 18 cm
建造Ruinenfeld,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,Plattengröße (Foto): 13 x 18 cm
Ruinenfeld,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Ruinenfeld,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
洞穴全景,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
洞穴全景,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
Höhlen-Panorama,Staatliche Museen zu Berlin,1902-1914,,盘子尺寸（照片）：13 x 18厘米
Höhlen-Panorama,柏林州立博物馆,1906-1907,,Plattengröße (Foto): 13 x 18 cm
洞穴全景,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
团体肖像,柏林州立博物馆,1906-1907,,Plattengröße (Foto): 13 x 18 cm
Gebäude und Personen,柏林州立博物馆,1902-1914,,盘子尺寸（照片）：13 x 18厘米
壁画,柏林州立博物馆,1913-1914,,盘子尺寸（照片）：13 x 18厘米
题词,柏林州立博物馆,1906-1907,,盘子尺寸（照片）：13 x 18厘米
