Subject,Predicate,Object
Eine Inkarnation daoistischer Reinheit: 元始天尊 (Yuanzhi tianzun),图片链接,https://recherche.smb.museum/images/943638_300x300.jpg
Eine Inkarnation daoistischer Reinheit: 元始天尊 (Yuanzhi tianzun),详情链接,https://id.smb.museum/object/583788/eine-inkarnation-daoistischer-reinheit-%E5%85%83%E5%A7%8B%E5%A4%A9%E5%B0%8A-yuanzhi-tianzun
"""Der Kaiser begibt sich persönlich vor die Stadt, um Berichte verdienter Offiziere und Soldaten entgegenzunehmen""  (Nr. 15 der 西洋-Serie)",属于,Staatliche Museen zu Berlin
"""Der Kaiser begibt sich persönlich vor die Stadt, um Berichte verdienter Offiziere und Soldaten entgegenzunehmen""  (Nr. 15 der 西洋-Serie)",年代,1772 (Vorlage)
"""Der Kaiser begibt sich persönlich vor die Stadt, um Berichte verdienter Offiziere und Soldaten entgegenzunehmen""  (Nr. 15 der 西洋-Serie)",材料,Kupfer
"""Der Kaiser begibt sich persönlich vor die Stadt, um Berichte verdienter Offiziere und Soldaten entgegenzunehmen""  (Nr. 15 der 西洋-Serie)",大小,"Höhe x Breite: 57,7 x 93,9 cm"
"""Der Kaiser begibt sich persönlich vor die Stadt, um Berichte verdienter Offiziere und Soldaten entgegenzunehmen""  (Nr. 15 der 西洋-Serie)",描述,"Fünfzehnte Kupferdruckplatte der Serie ""The Battle of Qurman, 1759“: Der Kaiser begibt sich persönlich vor die Stadt, um Berichte verdienter Offiziere und Soldaten entgegenzunehmen (郊 勞 回 部 成 功 諸 將 士,The Emperor in the Suburbs Personally Receives News of the Officers and Soldiers Distinguished in the Campaign against the Muslim Tribes/ L´Empereur se ren] dans la banlieue pour prendre [personellement] des nouvelles des officiers et soldates qui se sont distingués dans la campagne contre les tribus musulmanes)     

""Vor der Kulisse einer weiten gebirgigen Landschaft wird der zeremonielle Einzug des Kaisers Qianlong zu Pferde ins Bild gesetzt. Ein Gefolge hoher Beamter umgibt den von einem Ehrenschirm in seiner Würde hervorgehobenen Kaiser. Die ihm folgenden Militärs sind in Rüstungen gezeigt. Das Areal vor der Terrasse mit sieben aufgepflanzten Standarten ist mit Zelten festlich hergerichtet und wird zum Vordergrund hin von Spalieren kaiserlicher  Beamter eingefasst. Musiker des kaiserlichen Orchesters - zu beiden Seiten der Terrasse aufgereiht - spielen auf.

Der Empfang der siegreichen Heerführer fand im April 1760 im Kreis Liangxiang, südlich von Peking, unweit des kaiserlichen Reisepalasdtes Huangxinzhuang statt."""
"""Der Kaiser begibt sich persönlich vor die Stadt, um Berichte verdienter Offiziere und Soldaten entgegenzunehmen""  (Nr. 15 der 西洋-Serie)",图片链接,https://recherche.smb.museum/images/5830908_300x300.jpg
"""Der Kaiser begibt sich persönlich vor die Stadt, um Berichte verdienter Offiziere und Soldaten entgegenzunehmen""  (Nr. 15 der 西洋-Serie)",详情链接,https://id.smb.museum/object/148634/der-kaiser-begibt-sich-personlich-vor-die-stadt-um-berichte-verdienter-offiziere
"Audienz vor dem Mittagstor Wumen der ""Verbotenen Stadt""",属于,Staatliche Museen zu Berlin
"Audienz vor dem Mittagstor Wumen der ""Verbotenen Stadt""",年代,1913
"Audienz vor dem Mittagstor Wumen der ""Verbotenen Stadt""",材料,"Papier, Druckerfarbe"
"Audienz vor dem Mittagstor Wumen der ""Verbotenen Stadt""",大小,"Blattmaß: 59,3 x 94,7 cm"
"Audienz vor dem Mittagstor Wumen der ""Verbotenen Stadt""",描述,"historischer Hauptkatalog: ""Kupferdruck: Vorstellung eines gefangenen Mongolenfürsten vor dem Kaiser. (ohne Text)""
Neuzeitlicher Druck nach einer Kupferplatte im Berliner Ethnologischen Museum, Ident. Nr. I D 23602.

Beschriftung auf der Rückseite: ""K-Platte ABZUG VON PLATTE I D 23602"""
"Audienz vor dem Mittagstor Wumen der ""Verbotenen Stadt""",图片链接,https://recherche.smb.museum/images/2971479_300x300.jpg
"Audienz vor dem Mittagstor Wumen der ""Verbotenen Stadt""",详情链接,https://id.smb.museum/object/148523/audienz-vor-dem-mittagstor-wumen-der-verbotenen-stadt
"""Die Schlacht von Oroj-jalatu"" (Manzhu gegen Dsungaren)",属于,Staatliche Museen zu Berlin
"""Die Schlacht von Oroj-jalatu"" (Manzhu gegen Dsungaren)",年代,Herstellung: 1913
"""Die Schlacht von Oroj-jalatu"" (Manzhu gegen Dsungaren)",材料,Kupferdruck auf Papier
"""Die Schlacht von Oroj-jalatu"" (Manzhu gegen Dsungaren)",大小,Passepartout: 62 x 100 cm
"""Die Schlacht von Oroj-jalatu"" (Manzhu gegen Dsungaren)",描述,"Dargestellt ist das Kampfgeschehen der Schlacht von Oroj-jalatu nach einem Überraschungsangriff der Manjuren unter General Jaohôi (chin. Zhaohui) gegen die Dsungaren im Jahre 1758.
Abzug von  der im Ethnologischen Museum befindlichen Kupferplatte aus dem Jahre 1770, Inv.Nr. I D 31770."
"""Die Schlacht von Oroj-jalatu"" (Manzhu gegen Dsungaren)",图片链接,https://recherche.smb.museum/images/2542_300x300.jpg
"""Die Schlacht von Oroj-jalatu"" (Manzhu gegen Dsungaren)",详情链接,https://id.smb.museum/object/148502/die-schlacht-von-oroj-jalatu-manzhu-gegen-dsungaren
Wasserbüffel mit reitendem Bauern,属于,Staatliche Museen zu Berlin
Wasserbüffel mit reitendem Bauern,年代,Qing (Mandschu) -Dynastie
Wasserbüffel mit reitendem Bauern,材料,Keramik
Wasserbüffel mit reitendem Bauern,大小,Objektmaß: 43 x 44 x 18 cm (lt. Karteikarte)
Wasserbüffel mit reitendem Bauern,描述,paarig mit I D 1 gleicher Herkunft!
Wasserbüffel mit reitendem Bauern,图片链接,https://recherche.smb.museum/images/1411306_300x300.jpg
Wasserbüffel mit reitendem Bauern,详情链接,https://id.smb.museum/object/148148/wasserbuffel-mit-reitendem-bauern
Wasserbüffel mit reitendem Hütejungen,属于,Staatliche Museen zu Berlin
Wasserbüffel mit reitendem Hütejungen,年代,vor 1847
Wasserbüffel mit reitendem Hütejungen,材料,Keramik
Wasserbüffel mit reitendem Hütejungen,大小,Objektmaß: 42 x 43 x 23 cm
Wasserbüffel mit reitendem Hütejungen,描述,"Wasserbüffel mit Hütejungen, paarig mit I D 2"
Wasserbüffel mit reitendem Hütejungen,图片链接,https://recherche.smb.museum/images/2489904_300x300.jpg
Wasserbüffel mit reitendem Hütejungen,详情链接,https://id.smb.museum/object/148147/wasserbuffel-mit-reitendem-hutejungen
Stehender Maitreya,属于,Staatliche Museen zu Berlin
Stehender Maitreya,年代,18. Jh.
Stehender Maitreya,材料,"Bronze, Gold"
Stehender Maitreya,大小,Höhe x Breite x Tiefe: 111 x 42 x 35 cm
Stehender Maitreya,描述,"Maitreya (von maitri: Güte, Wohlwollen, Liebe) wird gemäß der buddhistischen Lehre als der zukünftige Buddha und kommende Weltlehrer betrachtet. Maitreya ist der Nachfolger von Gautama Buddha. Bis dahin ist er Bodhisattva mit der hauptsächlichen Aufgabe, das Wissen des reinen Dharma zu verbreiten. Das Standbild dieses Maitreyas ist im lamaistischen Qing-Stil angefertigt.

Sino-tibetische Bronzen
Während der Qing-Dynastie in China (1644 - 1911), insbesondere unter Kaiser Qianlong im 18. Jh., entstand ein wachsendes Interesse am tibetischen Buddhismus. Sowohl in China als auch in der Mongolei begann die Herstellung tibetischer Kunst, mit einem ganz eigenen, sogenannten sino-tibetischen Stil (auch lamaistischer Qing-Stil genannt), ohne jedes Zeichen indischen Einflusses. Charakteristisch für diesen Stil sind besondere Verzierungen in der Ausstattung, z.B. Tuch-Drapierungen und Schleifen."
Stehender Maitreya,图片链接,https://recherche.smb.museum/images/5662838_300x300.jpg
Stehender Maitreya,详情链接,https://id.smb.museum/object/147937/stehender-maitreya
Avalokitesvara ( Bodhisattva) Padmapani (skr.  Lotoshalter),属于,Staatliche Museen zu Berlin
Avalokitesvara ( Bodhisattva) Padmapani (skr.  Lotoshalter),年代,18. Jh.
Avalokitesvara ( Bodhisattva) Padmapani (skr.  Lotoshalter),材料,Bronze; Gold
Avalokitesvara ( Bodhisattva) Padmapani (skr.  Lotoshalter),大小,"Objektmaß: 115,5 x 52 x 35 cm"
Avalokitesvara ( Bodhisattva) Padmapani (skr.  Lotoshalter),描述,"Avalokiteshvara, „Herr des Mitgefühls“ oder ""der (mitleidvoll) herabblickende Herr"" ist der volksnaheste Bodhisattva im Nördlichen (Mahayana) Buddhismus. Er zählt zu den acht großen Bodhisattvas des Mahayana Buddhismus. Diese haben eine sehr hohe Stufe auf dem Pfad zur Erleuchtung (bodhi) erreicht. Im tibetischen Buddhismus gilt der Dalai Lama als Verkörperung von Avalokiteshvara, der in 108 möglichen Erscheinungsformen auftreten kann. Hier ist er als Padmapani, wörtlich aus dem Sanskrit ""Lotosträger"", dargestellt. In dieser Form hält er einen Lotos in der Hand. Der Avalokiteshvara gehört zur Gruppe der sino-tibetischen Bronzen.

Sino-tibetische Bronzen
Während der Qing-Dynastie in China (1644 - 1911), insbesondere unter Kaiser Qianlong im 18. Jh., entstand ein wachsendes Interesse am tibetischen Buddhismus. Sowohl in China als auch in der Mongolei begann die Herstellung tibetischer Kunst, mit einem ganz eigenen, sogenannten sino-tibetischen Stil (auch lamaistischer Qing-Stil genannt), ohne jedes Zeichen indischen Einflusses. Charakteristisch für diesen Stil sind besondere Verzierungen in der Ausstattung, z.B. Tuch-Drapierungen und Schleifen."
Avalokitesvara ( Bodhisattva) Padmapani (skr.  Lotoshalter),图片链接,https://recherche.smb.museum/images/598867_300x300.jpg
Avalokitesvara ( Bodhisattva) Padmapani (skr.  Lotoshalter),详情链接,https://id.smb.museum/object/147936/avalokitesvara--bodhisattva-padmapani-skr---lotoshalter
Aus der Serie: Kampf gegen die Miao,属于,Staatliche Museen zu Berlin
Aus der Serie: Kampf gegen die Miao,年代,Qianlong-Periode
Aus der Serie: Kampf gegen die Miao,材料,Kupfer
Aus der Serie: Kampf gegen die Miao,大小,Höhe: 60 cm
Aus der Serie: Kampf gegen die Miao,描述,"Vierte Kupferdruckplatte aus der Serie „Chong Miao (Yunnan) Feldzug“ 1795: Die Eroberung der Rebellennester Beixiang und Balin (剿净仲苗余党,Attack on the rebel nest Beiqing and Balin)"
Aus der Serie: Kampf gegen die Miao,图片链接,https://recherche.smb.museum/images/5830905_300x300.jpg
Aus der Serie: Kampf gegen die Miao,详情链接,https://id.smb.museum/object/147851/aus-der-serie-kampf-gegen-die-miao
Hofschuhe einer Dienerin (?),属于,Staatliche Museen zu Berlin
Hofschuhe einer Dienerin (?),年代,Qing (Mandschu) –Dynastie (Ende)
Hofschuhe einer Dienerin (?),材料,"Seide, Baumwolle"
Hofschuhe einer Dienerin (?),大小,"Höhe: 15,5 cm"
Hofschuhe einer Dienerin (?),描述,1 Paar Mandschu-Schuhe.
Hofschuhe einer Dienerin (?),图片链接,https://recherche.smb.museum/images/1701567_300x300.jpg
Hofschuhe einer Dienerin (?),详情链接,https://id.smb.museum/object/147714/hofschuhe-einer-dienerin
"""Hasenform""",属于,Staatliche Museen zu Berlin
"""Hasenform""",年代,um 1930
"""Hasenform""",材料,Baumwolle
"""Hasenform""",大小,"Objektmaß: 5,8 x 5 x 11 cm"
"""Hasenform""",描述,Monatsschuhe für Kinder.
"""Hasenform""",图片链接,https://recherche.smb.museum/images/2322283_300x300.jpg
"""Hasenform""",详情链接,https://id.smb.museum/object/147705/hasenform
Säule einer Ahnenhalle (citang zhuzi 祠堂柱子),属于,Staatliche Museen zu Berlin
Säule einer Ahnenhalle (citang zhuzi 祠堂柱子),年代,Han-Dynastie (Ende)
Säule einer Ahnenhalle (citang zhuzi 祠堂柱子),材料,Kalkstein
Säule einer Ahnenhalle (citang zhuzi 祠堂柱子),大小,Objektmaß: 157 x 46 x 46 cm
Säule einer Ahnenhalle (citang zhuzi 祠堂柱子),描述,"Die mit Kapitell und Sockel 1, 57 Meter hohe Säule stützte den mittleren Dachbereich einer steinernen Ahnenhalle (citang 祠堂), die direkt vor dem Grab eines Würdenträgers zum Darbringen von Opfergaben für den Verstorbenen errichtet wurde. Darin waren Ahnentafeln aufgestellt.
In der Mitte des Säulenschafts ist eine nahezu vollständig erhaltene Inschrift zu erkennen (s. Foto der dazugehörigen Abreibung I D 27221. Sie ist im Original von rechts nach links zu lesen und bezieht sich auf den Zeitpunkt der Fertigstellung der Säule:

""Jianhe yuan nian wu yue gengchen 口 ri zao""  

      建和元年五月庚辰口日造 

(„Hergestellt im 5. Monat des 1. Jahres der Jianhe-  Regierungsperiode am 口 Tag des gengchen – Himmelsstamm-Tierkreiszyklus“)

Dies entspricht dem Jahr 147 nach Chr. 

Auf der zum Teil erhaltenen, über und unter dem Inschriftenband ineinander übergehenden Reliefornamentik sind menschliche Figuren dargestellt. Meist schreiten sie, haben einen oder beide Arme erhoben und halten zum großen Teil einen langen spitzen, an eine Stechwaffe erinnernden Gegenstand in die Höhe. Auf Wandschmuckplatten han-zeitlicher Ahnenhallen finden sich bei Darstellungen der taoistisch beeinflussten jenseitigen Welt Figuren in ähnlicher Pose, Kleidung und Kopfbedeckung wieder. Sie stellen Schwerter, Peitschen oder Banner tragende Begleiter von Gottheiten dar. Auch bei der bildlichen Darstellung auf unserem Säulenrelief handelt es sich möglicherweise um den   Kosmos bzw. eine Jenseitsvorstellung thematisierende Szenen. Darauf weisen auch die für solche Darstellungen typischen, übereinander liegenden Wolkenreihen hin. Sie sind in Form von miteinander verbundenen Kringelbändern dargestellt.

Auf dem Relief sind ferner Überreste von Formen mythischer Tiere zu erkennen. Auf der rechten Seite der Säulenbasis macht der gut erhaltene Kopf eines schlangenähnlichen Fabelwesens mit seinen stark herausgearbeiteten Wangenpartien, der kräftigen Schnauze und den tief liegenden Augen einen grimmigen Eindruck. Damit wird seine Schutz- und Abwehrfunktion betont.         

Die Steinsäule wurde 1906 von Adolf Fischer für die Ostasiatische Abteilung des damaligen Berliner Museums für Völkerkunde erworben. Als Fundort übermittelt Fischer das im Südwesten Shandongs errichtete „Grabdenkmal“ des Schwiegervaters des Kalligraphen Wang Xizhi 王羲之 (4. Jh. n. Chr.). In der Nähe jenes Fundortes - auf dem Gelände des bekannten Gräber- und Ahnenhallenensembles der Beamtenfamilie Wu (Wu shi ci  武氏祠) - wurden bereits 1786 ein steinerner Ehrenbogen, eine einem Mitglied der Familie gewidmete Stele und 1891 zudem zwei raubkatzenartige Wächterfiguren entdeckt. Sie alle sind mit Inschriften versehen, auf denen das Jahr 147 n. Chr. als Zeitpunkt der Fertigung festgehalten ist. Demnach kann vermutet werden, dass unsere Säule ursprünglich zu diesem weitaus älteren Gräberkomplex gehörte.
  
Die 2004/5 restaurierte Säule stellt ein seltenes Beispiel eines erhaltenen Bauelements han-zeitlicher chinesischer Ahnenhallenarchitektur in einer europäischen Sammlung dar."
Säule einer Ahnenhalle (citang zhuzi 祠堂柱子),图片链接,https://recherche.smb.museum/images/2336411_300x300.jpg
Säule einer Ahnenhalle (citang zhuzi 祠堂柱子),详情链接,https://id.smb.museum/object/147522/saule-einer-ahnenhalle-citang-zhuzi-%E7%A5%A0%E5%A0%82%E6%9F%B1%E5%AD%90
Für den Beamten Huang Tingcai (1654-1723),属于,Staatliche Museen zu Berlin
Für den Beamten Huang Tingcai (1654-1723),年代,18. Jh.
Für den Beamten Huang Tingcai (1654-1723),材料,Holz (lackiert)
Für den Beamten Huang Tingcai (1654-1723),大小,Höhe x Breite: 36 x 8 cm
Für den Beamten Huang Tingcai (1654-1723),描述,"Seelentafel für einen verstorbenen Vater. Der Verstorbene hieß Huang, und trug den Vornamen Tingcai. Er war ein Gelehrter und Beamter der Akademie, der im Jahre 1654 geboren wurde und 1723 in der Stadt Xiamen (Amoy) in der heutigen Provinz Fujian gestorben war. Seine 5 Söhne Huang De, Huang Ren, Huang Yi, Huang Li und Huang Zhi sind als Stifter der Tafel genannt. (Lesung : M. Schwedes, ca. 2007)"
Für den Beamten Huang Tingcai (1654-1723),图片链接,https://recherche.smb.museum/images/496633_300x300.jpg
Für den Beamten Huang Tingcai (1654-1723),详情链接,https://id.smb.museum/object/147308/fur-den-beamten-huang-tingcai-1654-1723
Shen wei 神位,属于,Staatliche Museen zu Berlin
Shen wei 神位,年代,"19. Jahrhundert, 1850er Jahre"
Shen wei 神位,材料,Tanne-Holz
Shen wei 神位,大小,"Objektmaß: 32 x 13,6 x 7 cm"
Shen wei 神位,描述,"Seelentafel einfacher Art, hier für einen verstorbenen Vater. Der Verstorbene hieß Chen, mit Vornamen Qingshi. Er war ein normaler Bürger, der im Jahre 1796 geboren wurde und 1851 in der Stadt Xiamen (Amoy) in der heutigen Provinz Fujian gestorben war. Seine Söhne Chen Cai und Chen Neng sind als Stifter der Tafel genannt. (M. Schwedes, 2006). 
Die Tafel b) für die verstorbene Mutter ist Kriegsverlust."
Shen wei 神位,图片链接,https://recherche.smb.museum/images/496630_300x300.jpg
Shen wei 神位,详情链接,https://id.smb.museum/object/147307/shen-wei-%E7%A5%9E%E4%BD%8D
Gin Lien-Schuhe,属于,Staatliche Museen zu Berlin
Gin Lien-Schuhe,年代,Qing (Mandschu) –Dynastie (Ende)
Gin Lien-Schuhe,材料,"Seide, Baumwolle"
Gin Lien-Schuhe,大小,Höhe: 13 cm
Gin Lien-Schuhe,描述,"Dieses Paar Schuhe wurde von Frauen mit deformierten Füßen (auch Lotos- oder Lilienfüße genannt) getragen. Bis ins 20. Jh. war es in China ein verbreiteter Brauch, jungen Mädchen die Füße zu binden. Hintergrund war ein vermutlich bereits seit dem 10. Jahrhundert existierendes Schönheitsideal eines extrem kleinen Frauenfußes, der für die Schönheit und Häuslichkeit der Frau stand und gleichzeitig ihren Gang verändern sollte.In der Regel wurden die gebrochenen Füße mit parfümierten Bandagen umwickelt und darüber kunstvoll gestaltete, kleine Spezialschuhe getragen."
Gin Lien-Schuhe,图片链接,https://recherche.smb.museum/images/599499_300x300.jpg
Gin Lien-Schuhe,详情链接,https://id.smb.museum/object/147212/gin-lien-schuhe
"""Lotosschuh""",属于,Staatliche Museen zu Berlin
"""Lotosschuh""",年代,20. Jh.(Anfang)
"""Lotosschuh""",材料,"Seide, Baumwolle"
"""Lotosschuh""",大小,Höhe: 14 cm
"""Lotosschuh""",描述,Kleiner Schuh aus Seide.
"""Lotosschuh""",图片链接,https://recherche.smb.museum/images/1739165_300x300.jpg
"""Lotosschuh""",详情链接,https://id.smb.museum/object/147208/lotosschuh
Shouxing,属于,Staatliche Museen zu Berlin
Shouxing,年代,19. Jh.
Shouxing,材料,Bronze
Shouxing,大小,"Objektmaß: H: 33,5 cm, L: 32 cm, B: 10 cm"
Shouxing,描述,"""Gott des Langen Lebens"". Bärtiger Mann mit überhöhtem Kopf in weitem gegürtetem Gewand, hält in der Rechten eine Schriftrolle. Die Linke hielt einen Altersstab, welcher fehlt. Er sitzt quer auf einem trabenden Hirsch, der im Maul einen Pfirsichzweig mit Früchten, Blüten und Blättern hält. Ein gleicher Zweig liegt über der Kruppe."
Shouxing,图片链接,https://recherche.smb.museum/images/496868_300x300.jpg
Shouxing,详情链接,https://id.smb.museum/object/146951/shouxing
Laozi auf einem Büffel reitend,属于,Staatliche Museen zu Berlin
Laozi auf einem Büffel reitend,年代,19. Jh.
Laozi auf einem Büffel reitend,材料,Bronze
Laozi auf einem Büffel reitend,大小,"Objektmaß: 40 x 31,5 x 16 cm"
Laozi auf einem Büffel reitend,描述,"Laotse, aus Bronze, zweiteilig. Bärtiger Greis mit überhöhtem Kopf, sitzt mit aufgestütztem rechten Bein quer auf einem schreitendenden Wasserbüffel. In der Rechten hält er eine Schriftrolle. Figur und Büffel sind hohl, die Figur ist abnehmbar. Der Büffel ist auf einen ovalen Bronzeuntersatz montiert"
Laozi auf einem Büffel reitend,图片链接,https://recherche.smb.museum/images/498228_300x300.jpg
Laozi auf einem Büffel reitend,详情链接,https://id.smb.museum/object/146950/laozi-auf-einem-buffel-reitend
"念佛來生四方公㨿引Nian fo lai sheng si fang gong ju yin, buddhistischer Text.",属于,Staatliche Museen zu Berlin
"念佛來生四方公㨿引Nian fo lai sheng si fang gong ju yin, buddhistischer Text.",年代,vor 1832
"念佛來生四方公㨿引Nian fo lai sheng si fang gong ju yin, buddhistischer Text.",材料,Holz
"念佛來生四方公㨿引Nian fo lai sheng si fang gong ju yin, buddhistischer Text.",大小,Objektmaß: 75 x 49 x 4 cm
"念佛來生四方公㨿引Nian fo lai sheng si fang gong ju yin, buddhistischer Text.",描述,"Unter der Titelzeile drei buddhistische Figuren:: Amitabha in der Mitte, links Kuan-yin (Avalokitesvara) und rechts Wen-shu (samanthabhadra), deren Füße auf Lotosblüten stehen. Darunter ist das Tor der Unterwelt zu sehen mit der ""Goldenen Brücke"" (die über den Fluß der Unterwelt führt) dahinter, über die zwei erlöste Seelen, begleitet von Paradiesboten mit Bannern, gehen, die am anderen Ufer von Engeln erwartet werden. Unter diesem Bildteil steht der Text. Die Tafel ist eingerahmt von zwei Drachen mit der Perle oben und unten und an den Seiten von Abbildungen der vier großen Himmelskönige.
Übersetzung der chinesischen Schriftzeichen: Wenn man immer an Buddha denkt und sein Leben nach ihm ausrichtet, dann kann man in des westliche Paradies geführt werden (gelangen).- (Aus dem Karteikartentext der Zeit um 1980).

Nachbemerkung Siegmar Nahser (Februar 2013):
 Neun weitere Druckstöcke aus dieser Erwerbung zählen zu den Kriegsverlusten.  Ein im Jahre 1908 erworbener Abzug dieser Platte  befindet sich ebenfalls im Berliner Museum (Inv. Nr. I D 22430)."
"念佛來生四方公㨿引Nian fo lai sheng si fang gong ju yin, buddhistischer Text.",图片链接,https://recherche.smb.museum/images/2414_300x300.jpg
"念佛來生四方公㨿引Nian fo lai sheng si fang gong ju yin, buddhistischer Text.",详情链接,https://id.smb.museum/object/146928/%E5%BF%B5%E4%BD%9B%E4%BE%86%E7%94%9F%E5%9B%9B%E6%96%B9%E5%85%AC%E3%A8%BF%E5%BC%95nian-fo-lai-sheng-si-fang-gong-ju-yin-buddhistischer-text
Die Entgegennahme der gefangenen Kin-Tschuan- Fürsten vor dem Kaiser - Ansicht 15 zum Jinchuan-Feldzug Kaiser Qianlongs (1775/76),属于,Staatliche Museen zu Berlin
Die Entgegennahme der gefangenen Kin-Tschuan- Fürsten vor dem Kaiser - Ansicht 15 zum Jinchuan-Feldzug Kaiser Qianlongs (1775/76),年代,1913
Die Entgegennahme der gefangenen Kin-Tschuan- Fürsten vor dem Kaiser - Ansicht 15 zum Jinchuan-Feldzug Kaiser Qianlongs (1775/76),材料,"Papier, schwarze Druckfarbe"
Die Entgegennahme der gefangenen Kin-Tschuan- Fürsten vor dem Kaiser - Ansicht 15 zum Jinchuan-Feldzug Kaiser Qianlongs (1775/76),大小,"Höhe x Breite: Plattenmaß: 58 x 93,5 cm"
Die Entgegennahme der gefangenen Kin-Tschuan- Fürsten vor dem Kaiser - Ansicht 15 zum Jinchuan-Feldzug Kaiser Qianlongs (1775/76),描述,Neuzeitlicher  Druck von der Kupferplatte Ident. Nr. I D 31747
Die Entgegennahme der gefangenen Kin-Tschuan- Fürsten vor dem Kaiser - Ansicht 15 zum Jinchuan-Feldzug Kaiser Qianlongs (1775/76),图片链接,https://recherche.smb.museum/images/2567069_300x300.jpg
Die Entgegennahme der gefangenen Kin-Tschuan- Fürsten vor dem Kaiser - Ansicht 15 zum Jinchuan-Feldzug Kaiser Qianlongs (1775/76),详情链接,https://id.smb.museum/object/146800/die-entgegennahme-der-gefangenen-kin-tschuan--fursten-vor-dem-kaiser---ansicht
Tuschwassergefäß,属于,Staatliche Museen zu Berlin
Tuschwassergefäß,年代,"Tongzhi-Periode, um 1870"
Tuschwassergefäß,材料,Speck-Stein
Tuschwassergefäß,大小,"Objektmaß: H: 5,6 cm, B: 15,2 cm"
Tuschwassergefäß,描述,"Aus rotbraunem Speckstein mit hellen und schwarzen Flecken. Geschnitzter Pfirsichzweig mit Felsgruppe, darin eingebettet ovale Wanne als Wasserbehälter zum Tuschereiben."
Tuschwassergefäß,图片链接,https://recherche.smb.museum/images/598064_300x300.jpg
Tuschwassergefäß,详情链接,https://id.smb.museum/object/146782/tuschwassergefass
Porträt des Gendün,属于,Staatliche Museen zu Berlin
Porträt des Gendün,年代,um 1755 (-1766)
Porträt des Gendün,材料,Ölfarben auf Papier
Porträt des Gendün,大小,"Blattmaß: 70,5 x 55,1 cm"
Porträt des Gendün,描述,"stammt aus dem ""Mongolenpalast"" in Peking; Nr. 7 der Serie der Dörbedfürsten."
Porträt des Gendün,图片链接,https://recherche.smb.museum/images/6177119_300x300.jpg
Porträt des Gendün,详情链接,https://id.smb.museum/object/146720/portrat-des-gendun
"Porträt des mongolischen Fürsten Erdeni (chin.額爾德尼 Eerdeni) (Dörbedserie, Nr. 7)",属于,Staatliche Museen zu Berlin
"Porträt des mongolischen Fürsten Erdeni (chin.額爾德尼 Eerdeni) (Dörbedserie, Nr. 7)",年代,um 1755
"Porträt des mongolischen Fürsten Erdeni (chin.額爾德尼 Eerdeni) (Dörbedserie, Nr. 7)",材料,Ölmalerei auf Papier
"Porträt des mongolischen Fürsten Erdeni (chin.額爾德尼 Eerdeni) (Dörbedserie, Nr. 7)",大小,Passepartout: 83 x 67 cm
"Porträt des mongolischen Fürsten Erdeni (chin.額爾德尼 Eerdeni) (Dörbedserie, Nr. 7)",描述,Fürst (Beyise Erdeni)
"Porträt des mongolischen Fürsten Erdeni (chin.額爾德尼 Eerdeni) (Dörbedserie, Nr. 7)",图片链接,https://recherche.smb.museum/images/6177114_300x300.jpg
"Porträt des mongolischen Fürsten Erdeni (chin.額爾德尼 Eerdeni) (Dörbedserie, Nr. 7)",详情链接,https://id.smb.museum/object/146711/portrat-des-mongolischen-fursten-erdeni-chin-%E9%A1%8D%E7%88%BE%E5%BE%B7%E5%B0%BC-eerdeni-dorbedserie-nr--7
Namensstempel,属于,Staatliche Museen zu Berlin
Namensstempel,年代,Qing (Mandschu)-Dynastie
Namensstempel,材料,Metall / Bronze
Namensstempel,大小,"Objektmaß: 3,7 x 3,5 x 3,5 cm (lt. Karteikarte)"
Namensstempel,描述,Mehrteiliger Siegelsatz
Namensstempel,图片链接,https://recherche.smb.museum/images/598126_300x300.jpg
Namensstempel,详情链接,https://id.smb.museum/object/146705/namensstempel
Dharani-Darstellungen ?,属于,Staatliche Museen zu Berlin
Dharani-Darstellungen ?,年代,Ende 19. Jahrhundert
Dharani-Darstellungen ?,材料,Tusche  auf Leinwand
Dharani-Darstellungen ?,大小,Höhe x Breite: 90 x 70 cm (gesamt)
Dharani-Darstellungen ?,描述,Abb.: Dharanis
Dharani-Darstellungen ?,图片链接,https://recherche.smb.museum/images/3163098_300x300.jpg
Dharani-Darstellungen ?,详情链接,https://id.smb.museum/object/144261/dharani-darstellungen
Drachenkopf- Tsam-Tanz,属于,Staatliche Museen zu Berlin
Drachenkopf- Tsam-Tanz,年代,Qing (Mandschu) –Dynastie (Mitte)
Drachenkopf- Tsam-Tanz,材料,"Leder, Seide, Baumwolle, Wolle, Metallfäden"
Drachenkopf- Tsam-Tanz,大小,Länge: 27 cm
Drachenkopf- Tsam-Tanz,描述,"1 Paar Stiefel; weiße Ledersohle mit etwas nach oben gebogener Spitze; Fußblatt aus schwarzem Seidensatin; Schaft aus rotgoldenem Brokat mit weinroten Stulpen, die mit Rips gefüttert sind; während des Tsamtanzes getragen."
Drachenkopf- Tsam-Tanz,图片链接,https://recherche.smb.museum/images/1705532_300x300.jpg
Drachenkopf- Tsam-Tanz,详情链接,https://id.smb.museum/object/143445/drachenkopf--tsam-tanz
Chinese Architectural Beauties 中国建築美 (Das Marmorschiff (1)),属于,Staatliche Museen zu Berlin
Chinese Architectural Beauties 中国建築美 (Das Marmorschiff (1)),年代,um 1935
