id,museum,title,era,material,size,description,detail_url,image,download_link
741,Staatliche Museen zu Berlin,Archiv Berliner Festwochen 1952,Aufnahmezeitraum: 27.9.1952 - 28.9.1952,,,"Aufführung des chinesischen Schattenspiels ""Die weiße Füchsin"" am 27./28.9.1952 im Völkerkundemuseum (heute: Ethnologisches Museum) Berlin.",https://id.smb.museum/object/2277941/archiv-berliner-festwochen-1952,https://recherche.smb.museum/images/5187746_300x300.jpg,https://recherche.smb.museum/images/5187746_300x300.jpg
742,Staatliche Museen zu Berlin,,Anfang 19. Jahrhundert-Datierung engl.: early 19th century,"Kette: Baumwolle; Schuss: Wolle; Knoten: Wolle, asymmetrisch, V 30, H 32 pro 10 cm",Höhe: 101 cm,"Fragment eines Knüpfteppichs. Erhalten ist ein Teil der unteren Schmalseite eines Khotan-Teppichs, in dem auf braunem Grund dunkelblaue Medaillons erscheinen, die mit kreisförmig um eine zentrale Rosette angeordneten Rosettblüten gefüllt sind. Die in diesem Fragment nicht mehr erhaltenen Medaillons sind paarweise nebeneinander angeordnet und in einen Rahmen mit Mäandermuster eingestellt. Das schmale Feld zwischen Mäanderrahmen und Bordüre ist ebenfalls mit versetzten Rosetten gefüllt. Der innere Bordürenstreifen ist mit dem sogenannten Yün-T’sai-T’ou-Ornament besetzt. Die schmalere äußere Bordüre zeigt wiederum Rosetten. Dazu gehören die Fragmente I. 2/80 a und b.",https://id.smb.museum/object/2276046/fragment-knupfteppich,https://recherche.smb.museum/images/5243457_300x300.jpg,https://recherche.smb.museum/images/5243457_300x300.jpg
743,Staatliche Museen zu Berlin,,Anfang 19. Jahrhundert-Datierung engl.: early 19th century,"Kette: Baumwolle; Schuss: Wolle; Knoten: Wolle, asymmetrisch, V 30, H 32 pro 10 cm",Höhe: 115 cm,"Fragment eines Knüpfteppichs. Erhalten ist die linke untere Ecke eines Khotan-Teppichs, in dem auf braunem Grund dunkelblaue Medaillons erscheinen, die mit kreisförmig um eine zentrale Rosette angeordneten Rosettblüten gefüllt sind. Die in diesem Fragment nicht mehr erhaltenen Medaillons sind paarweise nebeneinander angeordnet und in einen Rahmen mit Mäandermuster eingestellt. Das schmale Feld zwischen Mäanderrahmen und Bordüre ist ebenfalls mit versetzten Rosetten gefüllt. Der innere Bordürenstreifen ist mit dem sogenannten Yün-T’sai-T’ou-Ornament besetzt. Die schmalere äußere Bordüre zeigt wiederum Rosetten. Dazu gehören die Fragmente I. 2/80 a und c.",https://id.smb.museum/object/2276045/fragment-knupfteppich,https://recherche.smb.museum/images/5243454_300x300.jpg,https://recherche.smb.museum/images/5243454_300x300.jpg
744,Staatliche Museen zu Berlin,"Landschaft im Mi-Stil, mit Kolophonen von Chen Jiru, Dong Qichang, Wang Wenzhi",Ming-Dynastie-Qing-Dynastie-16./17. Jahrhundert,"Querrolle, Tusche auf Papier","Höhe x Breite: 19 x 108,1 cm",,https://id.smb.museum/object/2273814/landschaft-im-mi-stil-mit-kolophonen-von-chen-jiru-dong-qichang-wang-wenzhi,https://recherche.smb.museum/images/5195584_300x300.jpg,https://recherche.smb.museum/images/5195584_300x300.jpg
745,Staatliche Museen zu Berlin,Bambus,Qing-Dynastie-18. Jahrhundert,"Hängerolle, Tusche auf Papier","Höhe x Breite: 140 x 39,5 cm",,https://id.smb.museum/object/2273783/bambus,https://recherche.smb.museum/images/5195577_300x300.jpg,https://recherche.smb.museum/images/5195577_300x300.jpg
746,Staatliche Museen zu Berlin,Bambus,Qing-Dynastie-18. Jahrhundert,"Hängerolle, Tusche auf Papier","Höhe x Breite: 139,8 x 39,7 cm",,https://id.smb.museum/object/2273781/bambus,https://recherche.smb.museum/images/5195575_300x300.jpg,https://recherche.smb.museum/images/5195575_300x300.jpg
747,Staatliche Museen zu Berlin,"Bambus, Fels und Orchidee",Qing-Dynastie-1806 - 1814,"Hängerolle, Tusche auf Papier","Höhe x Breite: 122,4 x 28 cm",,https://id.smb.museum/object/2273720/bambus-fels-und-orchidee,https://recherche.smb.museum/images/5194499_300x300.jpg,https://recherche.smb.museum/images/5194499_300x300.jpg
748,Staatliche Museen zu Berlin,Kalligrafie,Ming-Dynastie-Qing-Dynastie-17. Jahrhundert-dated 1650,"Hängerolle, Tusche auf Papier","Höhe x Breite: 256,3 x 50,3 cm",,https://id.smb.museum/object/2273669/kalligrafie,https://recherche.smb.museum/images/5195754_300x300.jpg,https://recherche.smb.museum/images/5195754_300x300.jpg
749,Staatliche Museen zu Berlin,Hahnenkamm,Ming-Dynastie,"Hängerolle, Tusche auf Papier","Höhe x Breite: 124,2 x 30 cm",,https://id.smb.museum/object/2267521/hahnenkamm,https://recherche.smb.museum/images/5691342_300x300.jpg,https://recherche.smb.museum/images/5691342_300x300.jpg
750,Staatliche Museen zu Berlin,,vor 1929,Leder; Metall,Länge x Breite: 26 x 113 cm (lt. Karteikarte),"Schellengurt für Schamanen, mit 12 Glocken und 32 Schellen",https://id.smb.museum/object/623102/schellengurt-fur-schamanen,https://recherche.smb.museum/images/4884593_300x300.jpg,https://recherche.smb.museum/images/4884593_300x300.jpg
751,Staatliche Museen zu Berlin,Frischwasserhändler,um 1895,"Seide, Pigmente, Tusche","Bildmaß: 15,3 x 19,5 cm (im Passepartout)",,https://id.smb.museum/object/138920/frischwasserhandler,https://recherche.smb.museum/images/2920253_300x300.jpg,https://recherche.smb.museum/images/2920253_300x300.jpg
752,Staatliche Museen zu Berlin,Jagd- und Kampfszenen aus der Mongolei,,"Farben, Papier, Seide, Damast","Höhe x Breite: 39,5 x 448 cm","Hauptkatalog: ""Querrolle, Malerei in Farben: Jagdszenen zu Pferde von Chien Shun-feng [  ]. Prolog von [  ] Tsu Ang.""",https://id.smb.museum/object/1478818/jagd--und-kampfszenen-aus-der-mongolei,https://recherche.smb.museum/images/2848398_300x300.jpg,https://recherche.smb.museum/images/2848398_300x300.jpg
753,Staatliche Museen zu Berlin,Musizierende Frauen,Qing (Mandschu) –Dynastie (Ende),,"Bildformat (Foto): 19,8 x 26,8 cm","Inv. Nr. P 4021.
Aufschriften:
Vorderseite:  ""China"", ""Mädchen aus Fu-tschau"" (Filzstift, handschriftlich) .

Auf der Rückseite gedruckt der chinesische Titel , engliche Übertragung, Seriennummer und kurze Erläuterung:
""福洲妓婦唱之楽
No. 617, FOOCHOW FEMALE MUSICIANS.
Some of the instruments used to have only one string, and are most curious looking things."" 
Sammlerstempel: ""Collection W. JOEST"" ,
Vier junge Frauen auf Stühlen sitzend, mit Saiteninstrumenten  in traditioneller Kleidung, an einem Tisch mit  Fächern, Uhr und Blumenschale. 
(Bearbeitung: Siegmar Nahser, 2003).

Publ.: Pohl, Klaus, Ansichten der Ferne - Reisefotographie 1850-heute, Darmstadt (Hessisches Landesmuseum), 1983, S. 83",https://id.smb.museum/object/1494721/musizierende-frauen,https://recherche.smb.museum/images/2903175_300x300.jpg,https://recherche.smb.museum/images/2903175_300x300.jpg
754,Staatliche Museen zu Berlin,"Japan, China, America",,,Geschwindigkeit (Band): 38 cm/s,"Original tape owned by University of Göttingen / Department of Musicology. Copyright protected.
No further information available.",https://id.smb.museum/object/2418031/japan-china-america,https://recherche.smb.museum/images/5641078_300x300.jpg,https://recherche.smb.museum/images/5641078_300x300.jpg
755,Staatliche Museen zu Berlin,Grabanlage des Kaisers Guangxu (1871-1908),"Tongzhi-Periode, vor 1873","Holz, Papier, Farbe","Objektmaß: 36,5 x 41,5 x 114 cm","Grabanlage des Kaisers Guangxu (1871-1908), bestehend aus 61 auseinandernehmbaren Teilen.",https://id.smb.museum/object/1016733/grabanlage-des-kaisers-guangxu-1871-1908,https://recherche.smb.museum/images/5818405_300x300.jpg,https://recherche.smb.museum/images/5818405_300x300.jpg
756,Staatliche Museen zu Berlin,Luóhàn mit Drache (Xiáng lóng luóhàn),Qing (Mandschu) –Dynastie (Ende),"Wasserfarbe auf Papier, kaschiert auf Karton","Blattmaß: 41,0 x 30,0 cm","""Der Arhat der einen Drachen beherrschte"" (Xiáng lóng luóhàn) ist ein Thema der achtzehn Arhats. Es stellt dar, wie der Arhat den Drachen vollständig unterwirft, daher wird er auch ""Der ehrwürdige Drachenreiter"" genannt.",https://id.smb.museum/object/139776/luohan-mit-drache-xiang-long-luohan,https://recherche.smb.museum/images/6468195_300x300.jpg,https://recherche.smb.museum/images/6468195_300x300.jpg
757,Staatliche Museen zu Berlin,"Achter Prinz (Bǎ dà wáng, 八大王)",Qing (Mandschu) –Dynastie (Ende),"Wasserfarbe auf Papier, kaschiert auf Karton","Blattmaß: 41,0 x 30,0 cm","Achter Prinz (Bǎ dà wáng)&nbsp; (八大王)Hier handelt es sich um Zhao Yuanyan, offizielle Prinz Gongsu von Zhou (985- 13. Februar 1044). Er war ein kaiserlicher Prinz der chinesischen Song-Dynastie, bekannt für seine Tugenden. Er war der 8. Sohn von Kaiser Taizong und ein jüngerer Bruder von Kaiser Zhenzong. Er wurde als ""achter Prinz"" bezeichnet. Er war der einzige Überlebende Onkel väterlicherseits von Kaiser Rezong während dessen Regierungszeit.",https://id.smb.museum/object/139772/achter-prinz-ba-da-wang-%E5%85%AB%E5%A4%A7%E7%8E%8B,https://recherche.smb.museum/images/6468199_300x300.jpg,https://recherche.smb.museum/images/6468199_300x300.jpg
758,Staatliche Museen zu Berlin,Opéra Chinois de FORMOSE (Extraits),Aufnahme: ohne Datum,,"Geschwindigkeit (Band): 3,75 inch/s.",,https://id.smb.museum/object/1448083/opera-chinois-de-formose-extraits,https://recherche.smb.museum/images/2768013_300x300.jpg,https://recherche.smb.museum/images/2768013_300x300.jpg
759,Staatliche Museen zu Berlin,Chine pi-pe et Chin,Aufnahme: ohne Datum,,,,https://id.smb.museum/object/1448059/chine-pi-pe-et-chin,https://recherche.smb.museum/images/2767509_300x300.jpg,https://recherche.smb.museum/images/2767509_300x300.jpg
760,Staatliche Museen zu Berlin,01 La route versles nuages,Aufnahme: ohne Datum,,"Geschwindigkeit (Band): 7,5 inch/s.",,https://id.smb.museum/object/1447945/01-la-route-versles-nuages,https://recherche.smb.museum/images/2767511_300x300.jpg,https://recherche.smb.museum/images/2767511_300x300.jpg
761,Staatliche Museen zu Berlin,"Chinesische Instrumental Musik / Montages pour disque Hong - Kong - EMI, (Manuskript: Alain Daniélou)",Aufnahme: ohne Datum,,Geschwindigkeit (Band): 38 cm/s,,https://id.smb.museum/object/1446197/chinesische-instrumental-musik---montages-pour-disque-hong---kong---emi,https://recherche.smb.museum/images/2765049_300x300.jpg,https://recherche.smb.museum/images/2765049_300x300.jpg
762,Staatliche Museen zu Berlin,"55. SFB-Sendung Klassische Musik aus China. Instrumentalensembles in verschiedenen Besetzungen, (Manuskript: Ivan Vandor)","Sendedatum: 1976, 04. 21",,Spieldauer: 00:12:30 std/min/sek (Text),,https://id.smb.museum/object/1446110/55--sfb-sendung-klassische-musik-aus-china--instrumentalensembles-in,https://recherche.smb.museum/images/2765031_300x300.jpg,https://recherche.smb.museum/images/2765031_300x300.jpg
763,Staatliche Museen zu Berlin,"48. SFB-Sendung Fernöstliche Musik auf der Zither, (Manuskript: Habib Hassan Touma)","Sendedatum: 1975, 04. 16",,,,https://id.smb.museum/object/1445755/48--sfb-sendung-fernostliche-musik-auf-der-zither-manuskript-habib-hassan-touma,https://recherche.smb.museum/images/2764817_300x300.jpg,https://recherche.smb.museum/images/2764817_300x300.jpg
764,Staatliche Museen zu Berlin,"Conférence ""La Musique en Orient et en Occident""",,,"Geschwindigkeit (Band): 7,5 inch/s. mono, Vollspur, NAB",,https://id.smb.museum/object/1436223/conference-la-musique-en-orient-et-en-occident,https://recherche.smb.museum/images/2723878_300x300.jpg,https://recherche.smb.museum/images/2723878_300x300.jpg
765,Staatliche Museen zu Berlin,"Conférence ""La Musique en Orient et en Occident""",,,"Geschwindigkeit (Band): 7,5 inch/s. NAB",,https://id.smb.museum/object/1436135/conference-la-musique-en-orient-et-en-occident,https://recherche.smb.museum/images/2723861_300x300.jpg,https://recherche.smb.museum/images/2723861_300x300.jpg
766,Staatliche Museen zu Berlin,Classic of Chinese Music 2.,,"Makrolon (Polycarbonat), Aluminium, Schutzlack, Druckfarbe, Kunststoff, Papier",Objektmaß: (Cover) 10 x 142 x 125 mm,,https://id.smb.museum/object/1973581/classic-of-chinese-music-2,https://recherche.smb.museum/images/4873777_300x300.jpg,https://recherche.smb.museum/images/4873777_300x300.jpg
767,Staatliche Museen zu Berlin,Classic of Chinese Music 1.,,"Makrolon (Polycarbonat), Aluminium, Schutzlack, Druckfarbe, Kunststoff, Papier",Objektmaß: (Cover) 10 x 142 x 125 mm,,https://id.smb.museum/object/1973580/classic-of-chinese-music-1,https://recherche.smb.museum/images/4873776_300x300.jpg,https://recherche.smb.museum/images/4873776_300x300.jpg
768,Staatliche Museen zu Berlin,Kong Hou. Introduction of Raindrops Rating on the BAnana Leaves,2009,"Makrolon (Polycarbonat), Aluminium, Schutzlack, Druckfarbe, Kunststoff, Papier",Objektmaß: (Cover) 10 x 142 x 125 mm,,https://id.smb.museum/object/1973555/kong-hou--introduction-of-raindrops-rating-on-the-banana-leaves,https://recherche.smb.museum/images/4873741_300x300.jpg,https://recherche.smb.museum/images/4873741_300x300.jpg
769,Staatliche Museen zu Berlin,"Ethnic Minority Music of Northwest Xinjiang, China",2009,"Makrolon (Polycarbonat), Aluminium, Schutzlack, Druckfarbe, Kunststoff, Papier",Objektmaß: (Cover) 10 x 142 x 125 mm,,https://id.smb.museum/object/1973552/ethnic-minority-music-of-northwest-xinjiang-china,https://recherche.smb.museum/images/4873740_300x300.jpg,https://recherche.smb.museum/images/4873740_300x300.jpg
770,Staatliche Museen zu Berlin,Genuineness,,"Makrolon (Polycarbonat), Aluminium, Schutzlack, Druckfarbe, Kunststoff, Papier",Objektmaß: (Cover) 10 x 142 x 125 mm,,https://id.smb.museum/object/1973507/genuineness,https://recherche.smb.museum/images/4873309_300x300.jpg,https://recherche.smb.museum/images/4873309_300x300.jpg
771,Staatliche Museen zu Berlin,Our Trip Around the World. Beka Recording Expeditions into Asia.,2014,,,,https://id.smb.museum/object/1967413/our-trip-around-the-world--beka-recording-expeditions-into-asia,https://recherche.smb.museum/images/4836578_300x300.jpg,https://recherche.smb.museum/images/4836578_300x300.jpg
772,Staatliche Museen zu Berlin,The Butterfly Lovers,,"Makrolon (Polycarbonat), Aluminium, Schutzlack, Druckfarbe, Kunststoff, Papier",Objektmaß: (Cover) 10 x 142 x 125 mm,,https://id.smb.museum/object/1941474/the-butterfly-lovers,https://recherche.smb.museum/images/4706851_300x300.jpg,https://recherche.smb.museum/images/4706851_300x300.jpg
773,Staatliche Museen zu Berlin,Chinese Classical Music,1999,"Makrolon (Polycarbonat), Aluminium, Schutzlack, Druckfarbe, Kunststoff, Papier",Objektmaß: (Cover) 10 x 142 x 125 mm,,https://id.smb.museum/object/1941470/chinese-classical-music,https://recherche.smb.museum/images/4706842_300x300.jpg,https://recherche.smb.museum/images/4706842_300x300.jpg
774,Staatliche Museen zu Berlin,Lotus: RAO Ningxin: Han Zheng Music (Excerpts): The Treasury of Zheng Music Vol.1,Aufnahme: 1987-Einstelldatum: 18.12.1997-Produktionsjahr: 1989,"Makrolon (Polycarbonat), Aluminium, Schutzlack, Druckfarbe, Kunststoff, Papier",Objektmaß: (Cover) 10 x 142 x 125 mm,,https://id.smb.museum/object/245600/lotus-rao-ningxin-han-zheng-music-excerpts-the-treasury-of-zheng-music-vol-1,https://recherche.smb.museum/images/4251639_300x300.jpg,https://recherche.smb.museum/images/4251639_300x300.jpg
775,Staatliche Museen zu Berlin,Song of the Conscripts: Joint performance of Music Lovers´ Chinese Orchestra (Hong Kong) and Chengdu Chinese Orchestra (China),"Einstelldatum: 1988-Aufnahme: dig. Live, 1987","Makrolon (Polycarbonat), Aluminium, Schutzlack, Druckfarbe, Kunststoff, Papier",Objektmaß: (Cover) 10 x 142 x 125 mm,,https://id.smb.museum/object/245599/song-of-the-conscripts-joint-performance-of-music-lovers-chinese-orchestra-hong,https://recherche.smb.museum/images/4251636_300x300.jpg,https://recherche.smb.museum/images/4251636_300x300.jpg
776,Staatliche Museen zu Berlin,Chine - Musique classique,Aufnahme: 195?-1961-Einstelldatum: 18.12.1997-Produktionsjahr: 1988,"Makrolon (Polycarbonat), Aluminium, Schutzlack, Druckfarbe, Kunststoff, Papier",Objektmaß: (Cover) 10 x 142 x 125 mm,,https://id.smb.museum/object/245442/chine---musique-classique,https://recherche.smb.museum/images/4238986_300x300.jpg,https://recherche.smb.museum/images/4238986_300x300.jpg
777,Staatliche Museen zu Berlin,Die Entsetzung der Festung Zhuluo (Schlachtenbild),1787-Qing-Dynastie-Qianlong-Periode,"Roter, braun-gelber, olivfarbener und blauer Schnitzlack, Holz und vergoldete Bronze mit Elfenbein und Stein",Objektmaß: 72 x 108 cm,[SM8HF],https://id.smb.museum/object/1908452/die-entsetzung-der-festung-zhuluo-schlachtenbild,https://recherche.smb.museum/images/5702988_300x300.jpg,https://recherche.smb.museum/images/5702988_300x300.jpg
778,Staatliche Museen zu Berlin,Guan-tsu,,"Holz, Textil, Metall, pflanzliches Material","Objektmaß: 29 x 2,7 x 2,7 cm",Der Korpus dieser chinesischen Guan-tsu ist aus Sandelholz gefertigt und mit ornamentalen Metallverzierungen am oberen und am unteren Ende versehen. Das zylindrische Doppelrohrblattinstrument hat sieben frontale Tonlöcher und ein Daumenloch zwischen dem ersten und dem zweiten Tonloch. Dieses Exemplar erwarb der private Sammler 2004 auf Macao.,https://id.smb.museum/object/2575006/guan-tsu,https://recherche.smb.museum/images/6246640_300x300.jpg,https://recherche.smb.museum/images/6246640_300x300.jpg
779,Staatliche Museen zu Berlin,Guan-tsu,,"Holz, Textil, Metall, pflanzliches Material","Objektmaß: 39,5 x 3,4 x 3,4 cm","Der Korpus dieser Guan-tsu ist aus Sandelholz gefertigt und mit ornamentalen Metallverzierungen am oberen und am unteren Ende versehen. Das zylindrische Doppelrohrblattinstrument hat sieben frontale Tonlöcher und ein Daumenloch zwischen dem ersten und dem zweiten Tonloch. Den Erzählungen zufolge, soll die erste Oboe zur Zeit der Suícháo-Dynastie oder gar früher während der Zhōu-Dynastie von Zentralasien nach China gelangt ein. Sie erlangte später in den Hoforchestern eine große Bedeutung, so dass man ihr den Beinamen Touguan (erste Oboe) verlieh, woraus sich der Name Guan (Guan-tsu, Guanzi) bildete. Im Unterschied zur chinesischen Suona mit einer konischen Bohrung klingt die Guan weicher und eher wie eine Klarinette",https://id.smb.museum/object/2575005/guan-tsu,https://recherche.smb.museum/images/6246635_300x300.jpg,https://recherche.smb.museum/images/6246635_300x300.jpg
780,Staatliche Museen zu Berlin,,20. Jahrhundert,Baumwolle,Länge x Breite: 317 x 303 cm,"Knüpfteppich, rot, in der Mitte acht Pasmedaillon mit zwei Drachen und einem Karpfen (Medaillon gelb eingefaßt). Am Rand Dekor stilisierter Blüten.",https://id.smb.museum/object/142160/teppich,https://recherche.smb.museum/images/641351_300x300.jpg,https://recherche.smb.museum/images/641351_300x300.jpg
781,Staatliche Museen zu Berlin,Abzeichnung von Felsinschriften/-Zeichnungen,vor 1899,auf Karton aufgezogen,"Bildformat (Foto): 22,5 x 16,5 cm",,https://id.smb.museum/object/1818910/abzeichnung-von-felsinschriften--zeichnungen,https://recherche.smb.museum/images/4105345_300x300.jpg,https://recherche.smb.museum/images/4105345_300x300.jpg
782,Staatliche Museen zu Berlin,Eines von zwei runden langen Holzobjekten,,Holz,"Länge x Durchmesser: a) 80,8 x 5,5 cm","Eines von zwei runden langen Holzobjekten, undekoriert, mit einem Zapfen an den Enden. Diese schlichtenHolzobjekte dienten einst als Architekturelemente.   One of two round long wooden objects, undecorated, with a tenon at the ends. These simple, round wooden objects once served as architectural elements.",https://id.smb.museum/object/2546733/eines-von-zwei-runden-langen-holzobjekten,https://recherche.smb.museum/images/5842085_300x300.jpg,https://recherche.smb.museum/images/5842085_300x300.jpg
783,Staatliche Museen zu Berlin,Bett- oder Stuhlbein,,"Holz, gedreht","Höhe x Breite x Tiefe: 49,5 x 7,5 x 7 cm","Dieses Holzbein ist mit zurückhaltenden Verzierungen geschmückt. An die Stelle fester Formen treten hier leichte, zierliche, gewundene Linien und zeugen von höchster Handwerkskunst.",https://id.smb.museum/object/1936481/bett--oder-stuhlbein,https://recherche.smb.museum/images/5845841_300x300.jpg,https://recherche.smb.museum/images/5845841_300x300.jpg
784,Staatliche Museen zu Berlin,Drei Holzbeine,,"Holz, geschnitzt","Höhe x Breite x Tiefe: a) 6,5 x 51,5 x 8,5 cm","Dieses Holzbein ist mit überbordenden Verzierungen geschmückt. An die Stelle fester Formen treten hier leichte, zierliche, gewundene Linien und zeugen von höchster Handwerkskunst.",https://id.smb.museum/object/1936420/drei-holzbeine,https://recherche.smb.museum/images/5845522_300x300.jpg,https://recherche.smb.museum/images/5845522_300x300.jpg
785,Staatliche Museen zu Berlin,Padmapani,,Bronze,"Höhe x Breite x Tiefe: 6,7 x 2 x 1,5 cm","Padmapani („Halter des Lotus“) ist eine Erscheinungsform von Avalokiteshvara, dem Bodhisattva des Mitgefühls. Während der Tang-Zeit nahm die Popularität des Bodhisattva Avalokiteshvara enorm zu und keine andere buddhistische Gottheit war Gegenstand so vieler Kunstwerke. Diese kleine Statuette ist ähnlich wie andere in der Sammlung aus Bronze. Vermutlich wurden sie auf den Pilgerrouten aus Zentralchina mitgebracht. Avalokiteshvara steht in anmutiger Pose auf einem Sockel, den Lotus hält er in der rechten Hand, die Flasche in der linken.",https://id.smb.museum/object/1928727/padmapani,https://recherche.smb.museum/images/5838074_300x300.jpg,https://recherche.smb.museum/images/5838074_300x300.jpg
786,Staatliche Museen zu Berlin,Buddha Amitabha (?),,"Holz, geschnitzt","Höhe x Breite x Tiefe: 9 x 6,5 x 5 cm","Diese Buddha Figur sitzt in Meditation, seine Handflächen zeigen nach oben und liegen gefaltet auf seinem Schoß.",https://id.smb.museum/object/1926022/buddha-amitabha,https://recherche.smb.museum/images/5845895_300x300.jpg,https://recherche.smb.museum/images/5845895_300x300.jpg
787,Staatliche Museen zu Berlin,Fußbodenfliese,,"Ton, gebrannt und gemustert","Höhe x Breite x Tiefe: 33 x 32 x 4,5 cm",Im Zentrum dieser Fliese ist ein schlichtes Blumenmuster zu erkennen. Durch das Zusammenfügen einer Vielzahl dieser verzierten Fliesen entstand einst ein kunstvoll gearbeiteter Fußboden.,https://id.smb.museum/object/1925782/fussbodenfliese,https://recherche.smb.museum/images/5842113_300x300.jpg,https://recherche.smb.museum/images/5842113_300x300.jpg
788,Staatliche Museen zu Berlin,Gandharva einer Lotusrosette entsprungen,,"Lehm, gebrannt und mit Farbresten","Höhe x Breite x Tiefe: 17 x 11,5 x 6 cm","Diese, einer Lotosblume entsprungene, Gandharva hat andächtig ihre Hände gefaltet. Sie trägt einen ausladenden Rock, welcher der Figur Bewegung und Lebendigkeit verleiht.",https://id.smb.museum/object/1925344/gandharva-einer-lotusrosette-entsprungen,https://recherche.smb.museum/images/5836770_300x300.jpg,https://recherche.smb.museum/images/5836770_300x300.jpg
789,Staatliche Museen zu Berlin,Stehender Guanyin (Avalokiteshvara),6.-7.Jh.,Bronze,"Höhe x Breite x Tiefe: 13,8 x 5 x 4,7 cm","Während der Tang-Zeit nahm die Popularität des Bodhisattva Avalokiteshvara enorm zu und keine andere buddhistische Gottheit war Gegenstand so vieler Kunstwerke. Diese kleine Statuette ist ähnlich wie andere in der Sammlung aus Bronze. Vermutlich wurden sie auf den Pilgerrouten aus Zentralchina mitgebracht. Avalokiteshvara steht auf einem Lotussockel, den Lotus hält er in der linken Hand, die Flasche in der rechten. Bänder fallen von seiner hohen Krone.During the Tang period the popularity of the bodhisattva Avalokiteshvara increased enormously and no other Buddhist deity was the subject of so many works of art. This statuette is similar to others in the collection made out of bronze. They were probably brought along the pilger routes from Central China. Avalokiteshvara stands on a lotus pedestal, the lotus in his left hand, the flask in his right. Ribbons fall from his high crown.",https://id.smb.museum/object/1912496/stehender-guanyin-avalokiteshvara,https://recherche.smb.museum/images/5838051_300x300.jpg,https://recherche.smb.museum/images/5838051_300x300.jpg
790,Staatliche Museen zu Berlin,"Kleine Holzfigur, sitzend in anjali-mudra",,"Holz, geschnitzt, mit Farbresten","Höhe x Breite x Tiefe: 3,5 x 1,7 x 1,2 cm","Mit gefalteten Händen sitzt diese kleine Holzfigur andächtig in anjali-mudra, eine Handgeste welche Darbietung und Gruß meint.",https://id.smb.museum/object/1901962/kleine-holzfigur-sitzend-in-anjali-mudra,https://recherche.smb.museum/images/5842323_300x300.jpg,https://recherche.smb.museum/images/5842323_300x300.jpg
791,Staatliche Museen zu Berlin,Kultnische,6. Jh.,Holz mit Grundierungs- und Malschichtresten,Höhe x Breite x Tiefe: 122 x 118 x 52 cm (gesamt),"Ein Holzmodell einer Kultnische eines typischen buddhistischen Höhlentempels aus Kizil. Der die Nische umgebende Bogen, besteht aus stilisierten geschnitzten Bergen. Die beiden kleineren Nischen deuten die Korridore, die zur hinteren Cella führen, an. Der Sockel ist mit Lotusblättern verziert. Dieses Objekt wurde möglicherweise für rituelle Prozessionen angefertigt, wahrscheinlich saß früher eine Buddha Figur darin. Es wurde im Zuge vergangener Restaurierungsmaßnahmen teilweise rekonstruiert.   A wooden model of the niche of a typical Kizil Buddhist cave temple. The arch surrounding the niche consists of stylised carved mountains. The two smaller niches indicate the corridors leading to the cella at the back. The base is decorated with lotus leaves. This object was probably made for ritual processions, probably a Buddha figure used to sit in it. It was partially reconstructed in the course of past restoration measures.",https://id.smb.museum/object/1864986/kultnische,https://recherche.smb.museum/images/5842255_300x300.jpg,https://recherche.smb.museum/images/5842255_300x300.jpg
792,Staatliche Museen zu Berlin,Sockel eines Steinsteles (Kriegsverlust),,Stein,Höhe x Breite x Tiefe: 18 x 124 x 52 cm,"Dieser massiver, aus rotem Sandstein gefertigter, Sockel ist mit einem Fries aus Lotosblüten verziert. Ein berühmter Steinstele mit einer historisch wichtigen Inschrift in chinesischen Schriftzeichen stand darin, dieser ist leider im Zweiten Weltkrieg zerstört worden. Stele und Sockel wurden in einer Palastruine in Kocho gefunden.",https://id.smb.museum/object/1858821/sockel-eines-steinsteles-kriegsverlust,https://recherche.smb.museum/images/4284869_300x300.jpg,https://recherche.smb.museum/images/4284869_300x300.jpg
793,Staatliche Museen zu Berlin,Kopf einer Devata,,"Lehm, mit Resten von Malschicht","Höhe x Breite x Tiefe: 22 x 17,5 x 17 cm",Dieser Kopf einer Devata ist stark verwittert im Laufe der Zeit. Gesichtszüge und Kopfschmuck lassen sich nur vage erahnen. Die Form ist in ihren Grundzügen jedoch weitestgehend erhalten geblieben.,https://id.smb.museum/object/1849656/kopf-einer-devata,https://recherche.smb.museum/images/5836711_300x300.jpg,https://recherche.smb.museum/images/5836711_300x300.jpg
794,Staatliche Museen zu Berlin,Buddhakopf,,"Lehm, gebrannt, mit Resten von Vergoldung","Höhe x Breite x Tiefe: 11 x 6,5 x 5 cm",Durch einen Brandschaden ist dieser Kopf eines Buddhas stark beschädigt worden. Bei genauerer Betrachtung lassen sich Spuren von Gold auf seiner rechten Kopfhälfte beobachten.,https://id.smb.museum/object/1840657/buddhakopf,https://recherche.smb.museum/images/5836721_300x300.jpg,https://recherche.smb.museum/images/5836721_300x300.jpg
795,Staatliche Museen zu Berlin,Ritterkopf,,Lehm,"Höhe x Breite x Tiefe: 10,6 x 6 x 6,7 cm","Dieser Kopf eines Ritters lächelt sanft. Seinen Mund ziert ein Oberlippenbart, der Helm lässt seine ursprüngliche Formgebung vage erahnen.",https://id.smb.museum/object/1840651/ritterkopf,https://recherche.smb.museum/images/5833795_300x300.jpg,https://recherche.smb.museum/images/5833795_300x300.jpg
